parameter,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
A254,result,160,7.98,19.056,11.134,9.753,11.932,2.179,1.671,11.157,1.866,0.148,0.291
A280,result,160,5.347,14.07,7.308,6.595,8.034,1.439,1.066,7.48,1.303,0.103,0.203
A350,result,160,1.083,4.49,1.65,1.46,1.857,0.397,0.296,1.731,0.431,0.034,0.067
A440,result,160,0.153,1.112,0.332,0.264,0.39,0.126,0.096,0.34,0.114,0.009,0.018
AT_ratio,result,160,1.776,5.133,3.036,2.689,3.543,0.853,0.568,3.144,0.666,0.053,0.104
BA,result,160,0.656,0.849,0.774,0.755,0.79,0.035,0.026,0.772,0.029,0.002,0.004
CA_ratio,result,160,0.416,0.635,0.537,0.524,0.551,0.027,0.021,0.534,0.036,0.003,0.006
chla_ug.L,result,97,2.24,141.52,12.21,6.947,22.74,15.793,8.807,21.838,25.967,2.637,5.234
CM_ratio,result,160,0.707,0.978,0.901,0.887,0.912,0.025,0.019,0.892,0.05,0.004,0.008
CT_ratio,result,160,0.988,2.725,1.636,1.49,1.857,0.367,0.26,1.666,0.301,0.024,0.047
DOC_mg.L,result,160,3.85,8.134,5.349,4.8,6.36,1.56,1.093,5.511,0.959,0.076,0.15
ext_coeff_m,result,87,0.452,4.347,1.264,0.867,1.835,0.968,0.675,1.42,0.759,0.081,0.162
FI,result,160,1.494,1.658,1.566,1.546,1.592,0.046,0.036,1.568,0.032,0.003,0.005
HIX_Ohno,result,160,0.73,0.888,0.833,0.811,0.851,0.041,0.03,0.827,0.032,0.002,0.005
PeakA_RU,result,160,0.61,1.366,0.931,0.836,1.058,0.222,0.168,0.948,0.163,0.013,0.025
PeakB_RU,result,160,0.103,0.38,0.207,0.173,0.244,0.072,0.054,0.212,0.054,0.004,0.008
PeakC_RU,result,160,0.331,0.734,0.493,0.454,0.549,0.095,0.075,0.505,0.084,0.007,0.013
PeakD_RU,result,160,0.126,0.312,0.193,0.177,0.221,0.044,0.029,0.199,0.036,0.003,0.006
PeakE_RU,result,160,0.037,0.087,0.057,0.052,0.065,0.013,0.008,0.059,0.011,0.001,0.002
PeakM_RU,result,160,0.373,0.839,0.556,0.497,0.635,0.137,0.103,0.567,0.098,0.008,0.015
PeakN_RU,result,160,0.264,0.499,0.367,0.337,0.403,0.066,0.05,0.371,0.049,0.004,0.008
PeakP_RU,result,31,0.01,0.026,0.017,0.014,0.023,0.008,0.005,0.018,0.005,0.001,0.002
PeakT_RU,result,160,0.194,0.486,0.302,0.267,0.34,0.073,0.052,0.309,0.059,0.005,0.009
S275to295,result,160,0.016,0.026,0.023,0.022,0.024,0.002,0.001,0.023,0.002,0,0
S350to400,result,160,0.016,0.023,0.02,0.019,0.021,0.002,0.001,0.02,0.001,0,0
secchi_depth_m,result,90,0.2,3.58,1,0.7,1.438,0.738,0.519,1.204,0.689,0.073,0.144
spA,result,160,0.106,0.273,0.173,0.148,0.197,0.049,0.037,0.176,0.037,0.003,0.006
spB,result,160,0.021,0.075,0.038,0.032,0.046,0.014,0.011,0.039,0.009,0.001,0.001
spC,result,160,0.058,0.143,0.093,0.078,0.107,0.029,0.022,0.094,0.019,0.002,0.003
spD,result,160,0.023,0.055,0.037,0.031,0.041,0.01,0.008,0.037,0.007,0.001,0.001
spE,result,160,0.007,0.017,0.011,0.009,0.013,0.003,0.003,0.011,0.002,0,0
spM,result,160,0.065,0.158,0.103,0.09,0.118,0.028,0.02,0.105,0.021,0.002,0.003
spN,result,160,0.047,0.098,0.068,0.058,0.077,0.019,0.014,0.069,0.013,0.001,0.002
spT,result,160,0.033,0.099,0.057,0.05,0.065,0.015,0.011,0.057,0.011,0.001,0.002
SR,result,160,1.005,1.448,1.18,1.122,1.241,0.119,0.09,1.184,0.09,0.007,0.014
SUVA,result,160,1.436,2.998,2.05,1.857,2.245,0.388,0.287,2.049,0.292,0.023,0.046
TDN_mg.L,result,85,0.224,0.64,0.411,0.351,0.452,0.101,0.084,0.403,0.082,0.009,0.018
turb_field_NTU,result,96,0.43,76.667,4.95,2.55,11.588,9.037,5.078,8.971,11.952,1.22,2.422
turb_lab_NTU,result,97,0.85,37,4.3,2,8.1,6.1,3.706,7.786,8.972,0.911,1.808
