"","site_name","date_ymd","DOC_mg.L","A254","A280","A350","A440"
"1","Buoy 0.8 m",2019-05-29,3.783,9.21890492132403,5.91821498320385,1.40110914357656,0.345755136138188
"2","Buoy 0.8 m",2019-06-03,3.975,9.15594291616334,5.97786184992547,1.37591469531218,0.316461169477226
"3","Buoy 0.8 m",2019-06-12,3.733,8.68129113570411,5.54426416876734,1.23424293404856,0.252758986176472
"4","Buoy 0.8 m",2019-06-19,3.841,9.05907376657666,5.66042505156795,1.30311931412188,0.296768120040506
"5","Buoy 0.8 m",2019-07-05,3.894,8.05469983847853,5.40487322562192,1.21693347545233,0.241154464580664
"6","Buoy 0.8 m",2019-07-10,5.531,8.81675104765736,5.98958656926452,1.41912653776878,0.323162451705909
"7","Buoy 0.8 m",2019-07-17,4.713,9.20022757738729,6.28409741844719,1.5193462904961,0.353377068714261
"8","Buoy 0.8 m",2019-07-29,4.822,9.62978641740161,6.61311304422555,1.68764462655249,0.438283941950075
"9","Buoy 0.8 m",2019-08-07,5.497,10.0606883675114,6.85671910050401,1.65810155105941,0.373766526946775
"10","Buoy 0.8 m",2019-08-15,4.788,10.0195957542272,6.82473931655355,1.67798838968778,0.364640322832712
"11","Buoy 0.8 m",2019-08-21,5.146,9.96395717457318,6.86615737391862,1.64873424789064,0.362471586719215
"12","Buoy 0.8 m",2019-08-30,4.998,10.3948475964964,7.21222941546119,1.90842952128949,0.551908902478384
"13","Buoy 0.8 m",2019-09-03,4.935,10.3783503560571,6.89759683910378,1.63271679083855,0.336337752548992
"14","Buoy 0.8 m",2019-09-13,5.017,9.95331179713443,6.88869070107792,1.74667844841209,0.438414238796828
"15","Buoy 0.8 m",2019-09-17,4.878,9.60144472116434,6.5707928290435,1.5714480487194,0.3190438784726
"16","Buoy 0.8 m",2019-09-26,5.08,9.67229186666642,6.66515979333733,1.67982159609936,0.415147338054738
"17","Buoy 0.8 m",2019-10-03,4.803,9.3498421765943,6.37451604569992,1.53222208474578,0.340368084492978
"18","Buoy 2.8 m",2019-05-29,3.772,8.92093294301553,5.90451224295731,1.26559892869377,0.209382731114457
"19","Buoy 2.8 m",2019-06-03,3.889,9.47447093983929,5.91170561565365,1.2747050958951,0.221883354800945
"20","Buoy 2.8 m",2019-06-12,3.833,8.6132570810915,5.58803585569911,1.18387870138607,0.190086309181466
"21","Buoy 2.8 m",2019-06-19,3.725,8.75037313503535,5.57571489587087,1.20392669612933,0.226583825291378
"22","Buoy 2.8 m",2019-07-05,4.441,8.68359283228964,5.84640344874137,1.35946486499153,0.33275540906492
"23","Buoy 2.8 m",2019-07-10,4.218,8.54248562000485,5.76723634449307,1.34512580327256,0.307465916793971
"24","Buoy 2.8 m",2019-07-17,4.476,8.95542622448684,6.06051842871778,1.42976027573045,0.264936315617456
"25","Buoy 2.8 m",2019-07-29,4.575,9.70506027099786,6.65229466371021,1.73011566056407,0.486739749777748
"26","Buoy 2.8 m",2019-08-07,5.569,10.0820374649285,6.94807860166731,1.72840734847563,0.438587075641274
"27","Buoy 2.8 m",2019-08-15,5.076,10.0105653153928,6.87471311940523,1.65700780758174,0.363786456961163
"28","Buoy 2.8 m",2019-08-21,5.481,10.2497175720608,7.09118781994879,1.72425594396351,0.388907860014118
"29","Buoy 2.8 m",2019-08-30,4.98,10.1613720505061,6.99552374428054,1.67219951815315,0.358632582399188
"30","Buoy 2.8 m",2019-09-03,4.884,10.5257151399036,7.08177335404838,1.71228354777017,0.395256727767232
"31","Buoy 2.8 m",2019-09-13,4.721,9.81287448221779,6.72321157988103,1.62523179276942,0.351513773951865
"32","Buoy 2.8 m",2019-09-17,4.942,9.8262885765311,6.69927960041019,1.65891061129289,0.406365651008301
"33","Buoy 2.8 m",2019-09-26,4.645,9.53751043807393,6.53446645775825,1.56524999990544,0.33124653279821
"34","Buoy 2.8 m",2019-10-03,4.628,9.35065649688641,6.39055610895542,1.53301235033425,0.32959544590834
