"","station_num","date_ymd","parameter","result","site_code_long","sitet_abbr1","dist_km"
"1","SK05JG0094",2018-03-20,"chla_ug.L",6.79,"Below Causeway","B5.2",5.2
"2","SK05JG0094",2018-03-20,"turb_field_NTU",33,"Below Causeway","B5.2",5.2
"3","SK05JG0095",2018-03-20,"chla_ug.L",13.73,"Opposite South Lake","B9.0",9
"4","SK05JG0095",2018-03-20,"turb_field_NTU",2.1,"Opposite South Lake","B9.0",9
"5","SK05JG0096",2018-03-20,"chla_ug.L",20.44,"Opposite Sun Valley","B13.0",13
"6","SK05JG0096",2018-03-20,"turb_field_NTU",0.9,"Opposite Sun Valley","B13.0",13
"7","SK05JG0098",2018-03-20,"chla_ug.L",74.41,"Opposite Parkview","B19.8",19.8
"8","SK05JG0098",2018-03-20,"turb_field_NTU",1.1,"Opposite Parkview","B19.8",19.8
"9","SK05JG0102",2018-03-20,"chla_ug.L",56.26,"WTP Intake","B25.2",25.2
"10","SK05JG0102",2018-03-20,"turb_field_NTU",3.1,"WTP Intake","B25.2",25.2
"11","SK05JG0104",2018-03-20,"chla_ug.L",12.4,"Above Outlet","B29.1",29.1
"12","SK05JG0104",2018-03-20,"turb_field_NTU",2.5,"Above Outlet","B29.1",29.1
"13","SK05JG0104",2018-05-23,"chla_ug.L",6,"Above Outlet","B29.1",29.1
"14","SK05JG0104",2018-05-23,"ext_coeff_m",0.776,"Above Outlet","B29.1",29.1
"15","SK05JG0104",2018-05-23,"turb_field_NTU",1.4,"Above Outlet","B29.1",29.1
"16","SK05JG0104",2018-05-23,"secchi_depth_m",1.95,"Above Outlet","B29.1",29.1
"17","SK05JG0102",2018-05-23,"chla_ug.L",5.31,"WTP Intake","B25.2",25.2
"18","SK05JG0102",2018-05-23,"ext_coeff_m",0.668,"WTP Intake","B25.2",25.2
"19","SK05JG0102",2018-05-23,"turb_field_NTU",0.6,"WTP Intake","B25.2",25.2
"20","SK05JG0102",2018-05-23,"secchi_depth_m",2.05,"WTP Intake","B25.2",25.2
"21","SK05JG0098",2018-05-23,"chla_ug.L",9.05,"Opposite Parkview","B19.8",19.8
"22","SK05JG0098",2018-05-23,"ext_coeff_m",0.742,"Opposite Parkview","B19.8",19.8
"23","SK05JG0098",2018-05-23,"turb_field_NTU",0.7,"Opposite Parkview","B19.8",19.8
"24","SK05JG0098",2018-05-23,"secchi_depth_m",2.1,"Opposite Parkview","B19.8",19.8
"25","SK05JG0096",2018-05-23,"chla_ug.L",4.63,"Opposite Sun Valley","B13.0",13
"26","SK05JG0096",2018-05-23,"ext_coeff_m",0.77,"Opposite Sun Valley","B13.0",13
"27","SK05JG0096",2018-05-23,"turb_field_NTU",0.6,"Opposite Sun Valley","B13.0",13
"28","SK05JG0096",2018-05-23,"secchi_depth_m",2.1,"Opposite Sun Valley","B13.0",13
"29","SK05JG0095",2018-05-23,"chla_ug.L",5.31,"Opposite South Lake","B9.0",9
"30","SK05JG0095",2018-05-23,"ext_coeff_m",0.686,"Opposite South Lake","B9.0",9
"31","SK05JG0095",2018-05-23,"turb_field_NTU",0.6,"Opposite South Lake","B9.0",9
"32","SK05JG0095",2018-05-23,"secchi_depth_m",1.85,"Opposite South Lake","B9.0",9
"33","SK05JG0094",2018-05-23,"chla_ug.L",6,"Below Causeway","B5.2",5.2
"34","SK05JG0094",2018-05-23,"ext_coeff_m",1.172,"Below Causeway","B5.2",5.2
"35","SK05JG0094",2018-05-23,"turb_field_NTU",2.1,"Below Causeway","B5.2",5.2
"36","SK05JG0094",2018-05-23,"secchi_depth_m",1.65,"Below Causeway","B5.2",5.2
"37","SK05JG0094",2018-06-19,"chla_ug.L",25.04,"Below Causeway","B5.2",5.2
"38","SK05JG0094",2018-06-19,"ext_coeff_m",1.27,"Below Causeway","B5.2",5.2
"39","SK05JG0094",2018-06-19,"turb_field_NTU",6.91,"Below Causeway","B5.2",5.2
"40","SK05JG0094",2018-06-19,"secchi_depth_m",0.9,"Below Causeway","B5.2",5.2
"41","SK05JG0095",2018-06-19,"chla_ug.L",25.11,"Opposite South Lake","B9.0",9
"42","SK05JG0095",2018-06-19,"ext_coeff_m",0.887,"Opposite South Lake","B9.0",9
"43","SK05JG0095",2018-06-19,"turb_field_NTU",10.86,"Opposite South Lake","B9.0",9
"44","SK05JG0095",2018-06-19,"secchi_depth_m",0.7,"Opposite South Lake","B9.0",9
"45","SK05JG0096",2018-06-19,"chla_ug.L",73.33,"Opposite Sun Valley","B13.0",13
"46","SK05JG0096",2018-06-19,"ext_coeff_m",1.116,"Opposite Sun Valley","B13.0",13
"47","SK05JG0096",2018-06-19,"turb_field_NTU",22.1,"Opposite Sun Valley","B13.0",13
"48","SK05JG0096",2018-06-19,"secchi_depth_m",0.3,"Opposite Sun Valley","B13.0",13
"49","SK05JG0098",2018-06-19,"chla_ug.L",70.6,"Opposite Parkview","B19.8",19.8
"50","SK05JG0098",2018-06-19,"ext_coeff_m",1.157,"Opposite Parkview","B19.8",19.8
"51","SK05JG0098",2018-06-19,"turb_field_NTU",17,"Opposite Parkview","B19.8",19.8
"52","SK05JG0098",2018-06-19,"secchi_depth_m",0.5,"Opposite Parkview","B19.8",19.8
"53","SK05JG0102",2018-06-19,"chla_ug.L",20.97,"WTP Intake","B25.2",25.2
"54","SK05JG0102",2018-06-19,"ext_coeff_m",1.11,"WTP Intake","B25.2",25.2
"55","SK05JG0102",2018-06-19,"turb_field_NTU",14.61,"WTP Intake","B25.2",25.2
"56","SK05JG0102",2018-06-19,"secchi_depth_m",1.05,"WTP Intake","B25.2",25.2
