site_num,site_name,site_code_long,latitude,longitude,distHaversine_m,distHaversine_km
1,1.5 km below Qu'Appelle R. Inflow East,Inflow East,50.736322,-105.623713,0,0
2,1.5 km below Qu'Appelle R. Inflow Centre,Inflow Centre,50.735692,-105.62639,201.220919818173,0.201220919818173
3,1.5 km below Qu'Appelle R. Inflow West,Inflow West,50.734637,-105.629262,433.61997768952193,0.43361997768952193
4,Upstream of Causeway Centre,Upstream Causeway Centre,50.721563,-105.603458,2176.321690895511,2.176321690895511
5,Upstream of Causeway East,Upstream Causeway East,50.722173,-105.599311,2331.809291700733,2.331809291700733
6,0.5 mi Below Causeway,Below Causeway,50.71159,-105.58777,3741.0889601530357,3.7410889601530357
7,Opposite South Lake,Opposite South Lake,50.68295,-105.5591,7486.355671435067,7.486355671435067
8,Opposite Sun Valley,Opposite Sun Valley,50.65615,-105.52058,11512.424221331808,11.512424221331809
9,Opposite Parkview,Opposite Parkview,50.6178,-105.44383,18305.606781341863,18.30560678134186
10,Opposite WTP Intake,WTP Intake,50.58653,-105.38421,23741.93885742915,23.74193885742915
11,0.5 mi Above Outlet,Above Outlet,50.57263,-105.33027,27585.31002246053,27.58531002246053
