site_code_long,date_ymd,Year,dist_km,chla_ug.L,turb_field_NTU,secchi_depth_m,ext_coeff_m,site_abbr1
Opposite Sun Valley,2016-04-12,2016,13.012424221331809,10.53,4.3,1.2,0.911,B13.0
Opposite Parkview,2016-04-12,2016,19.80560678134186,9.84,5,1.1,1.043,B19.8
WTP Intake,2016-04-12,2016,25.24193885742915,8.37,7.4,0.8,1.137,B25.2
Above Outlet,2016-04-12,2016,29.08531002246053,11.31,10.7,0.7,1.557,B29.1
Below Causeway,2016-04-12,2016,5.241088960153036,12.21,7.3,1,1.376,B5.2
Opposite South Lake,2016-04-12,2016,8.986355671435067,15.15,9.1,0.75,1.262,B9.0
Lake Inflow,2016-04-12,2016,1.71,31.666666666666668,76.66666666666667,0.2,NA,B1.7
Upstream Causeway,2016-04-12,2016,3.75,28.165,76.5,0.2,4.346500000000001,B3.8
Opposite Parkview,2016-04-19,2016,19.80560678134186,NA,NA,NA,NA,B19.8
WTP Intake,2016-04-19,2016,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2016-04-19,2016,29.08531002246053,NA,NA,NA,NA,B29.1
Below Causeway,2016-04-19,2016,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite South Lake,2016-04-19,2016,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2016-04-19,2016,19.80560678134186,NA,NA,NA,NA,B19.8
Below Causeway,2016-04-19,2016,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2016-04-19,2016,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2016-04-19,2016,3.75,NA,NA,NA,NA,B3.8
WTP Intake,2016-09-22,2016,25.24193885742915,35.21,16,0.6,2.04,B25.2
Above Outlet,2016-09-22,2016,29.08531002246053,36.07,17,0.55,2.189,B29.1
Opposite Parkview,2016-09-22,2016,19.80560678134186,26.15,9.4,0.9,1.46,B19.8
Opposite Sun Valley,2016-09-22,2016,13.012424221331809,21.64,8.9,1,1.39,B13.0
Opposite South Lake,2016-09-22,2016,8.986355671435067,18.3,7.2,1,1.31,B9.0
Below Causeway,2016-09-22,2016,5.241088960153036,19.61,11.3,0.95,1.499,B5.2
Lake Inflow,2016-09-22,2016,1.71,11.833333333333334,20.266666666666666,0.65,2.3703333333333334,B1.7
Upstream Causeway,2016-09-22,2016,3.75,17.259999999999998,11.85,0.75,1.8499999999999999,B3.8
WTP Intake,2017-03-21,2017,25.24193885742915,9.95,3.4,NA,NA,B25.2
Opposite Parkview,2017-03-21,2017,19.80560678134186,8.4,1.4,NA,NA,B19.8
Opposite Sun Valley,2017-03-21,2017,13.012424221331809,10.76,1.6,NA,NA,B13.0
Opposite South Lake,2017-03-21,2017,8.986355671435067,8.72,1.88,NA,NA,B9.0
Below Causeway,2017-03-21,2017,5.241088960153036,12.45,16.6,NA,NA,B5.2
Upstream Causeway,2017-03-21,2017,3.75,NA,NA,NA,NA,B3.8
WTP Intake,2017-05-15,2017,25.24193885742915,5.91,3.4,1.5,0.853,B25.2
Opposite Sun Valley,2017-05-15,2017,13.012424221331809,6.27,2.2,1.7,0.647,B13.0
Below Causeway,2017-05-15,2017,5.241088960153036,6.87,3.6,1.4,0.813,B5.2
Opposite South Lake,2017-05-15,2017,8.986355671435067,6.87,3.1,1.5,0.798,B9.0
Opposite Parkview,2017-05-15,2017,19.80560678134186,6.87,2.6,1.3,0.583,B19.8
Above Outlet,2017-05-15,2017,29.08531002246053,5.17,4.1,1.3,1.04,B29.1
Lake Inflow,2017-05-15,2017,1.71,17.213333333333335,23.466666666666665,0.55,2.026666666666667,B1.7
Upstream Causeway,2017-05-15,2017,3.75,12.844999999999999,15.25,0.65,1.855,B3.8
WTP Intake,2017-06-12,2017,25.24193885742915,7.26,3.5,1.1,0.91,B25.2
Above Outlet,2017-06-12,2017,29.08531002246053,7.26,3.9,1,0.934,B29.1
Opposite Parkview,2017-06-12,2017,19.80560678134186,7.26,2.4,1.9,0.717,B19.8
Opposite Sun Valley,2017-06-12,2017,13.012424221331809,7.26,2.9,1.4,0.717,B13.0
Opposite South Lake,2017-06-12,2017,8.986355671435067,13.64,3.8,1.05,0.933,B9.0
Below Causeway,2017-06-12,2017,5.241088960153036,18.13,11.5,0.65,1.595,B5.2
Lake Inflow,2017-06-12,2017,1.71,8.626666666666667,12.6,0.6166666666666667,1.8195000000000001,B1.7
Upstream Causeway,2017-06-12,2017,3.75,20.705,6.35,0.9,1.9224999999999999,B3.8
WTP Intake,2017-07-11,2017,25.24193885742915,25.01,6.7,1.1,1.309,B25.2
Above Outlet,2017-07-11,2017,29.08531002246053,15.16,3.8,1.4,1.114,B29.1
Opposite Parkview,2017-07-11,2017,19.80560678134186,39.48,9.8,1.1,1.437,B19.8
Opposite Sun Valley,2017-07-11,2017,13.012424221331809,24.06,7.2,1.2,1.278,B13.0
Opposite South Lake,2017-07-11,2017,8.986355671435067,14.37,6.4,1.1,1.164,B9.0
Below Causeway,2017-07-11,2017,5.241088960153036,7.57,11,0.9,1.526,B5.2
Lake Inflow,2017-07-11,2017,1.71,6.946666666666666,11.933333333333334,0.65,2.3754999999999997,B1.7
Upstream Causeway,2017-07-11,2017,3.75,3.34,0.795,NA,NA,B3.8
WTP Intake,2017-08-09,2017,25.24193885742915,27.27,25,0.47,2.83,B25.2
Above Outlet,2017-08-09,2017,29.08531002246053,44.02,20,0.53,4.05,B29.1
Opposite Parkview,2017-08-09,2017,19.80560678134186,75.03,18,0.57,2.416,B19.8
Opposite Sun Valley,2017-08-09,2017,13.012424221331809,50.7,12,0.8,1.957,B13.0
Opposite South Lake,2017-08-09,2017,8.986355671435067,60.08,18,0.7,2.249,B9.0
Below Causeway,2017-08-09,2017,5.241088960153036,47.86,17,0.8,2.389,B5.2
Lake Inflow,2017-08-09,2017,1.71,5.996666666666666,7.3,0.825,2.095,B1.7
Upstream Causeway,2017-08-09,2017,3.75,6.785,1.65,NA,0.988,B3.8
WTP Intake,2017-09-12,2017,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2017-09-12,2017,29.08531002246053,NA,NA,NA,NA,B29.1
Opposite Parkview,2017-09-12,2017,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite Sun Valley,2017-09-12,2017,13.012424221331809,NA,NA,NA,NA,B13.0
Opposite South Lake,2017-09-12,2017,8.986355671435067,NA,NA,NA,NA,B9.0
Below Causeway,2017-09-12,2017,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2017-09-12,2017,1.71,NA,NA,NA,NA,B1.7
