"","site_name","site_altname","date_ymd","Year","Month","DOY","latitude","longitude","TDN_mg.L","DOC_mg.L","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX_Ohno","Fmax","PeakA_RU","PeakB_RU","PeakC_RU","PeakD_RU","PeakE_RU","PeakM_RU","PeakN_RU","PeakP_RU","PeakT_RU","PeakA_percent","PeakB_percent","PeakC_percent","PeakD_percent","PeakE_percent","PeakM_percent","PeakN_percent","PeakP_percent","PeakT_percent","turb_lab_NTU","turb_field_NTU","chla_ug.L","secchi_depth_m","ext_coeff_m"
"1","Upstream of Causeway Centre","BPL u/s (upstream) of causeway",2015-06-01,"2015","Jun",152,50.735692,50.735692,NA,NA,41.8752538323312,28.2635518573946,6.98644867753475,1.15650832291737,0.0197757070296631,0.0204016358862405,0.969319673183679,0.716609043546456,1.5895967366396,10.0069066377474,0.90914795292525,5.7727375306553,3.14811107701094,NA,2.01784837349797,0.791827961689634,0.202415093808977,2.08110561570701,NA,0.0571950118204332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Upstream of Causeway East","BPL u/s (upstream) causeway (E - east side)",2015-06-01,"2015","Jun",152,50.734637,50.734637,NA,NA,43.4942608410301,29.5367735915128,7.23998424973033,1.24168245011296,0.0199155801135829,0.0199888488400943,0.996334519956726,0.719920310308202,1.58024498880678,8.78543251291509,0.897807276410095,5.93206926894317,3.18786635155578,NA,2.05944801876588,0.786096255391364,0.199796486147719,2.13658149197132,NA,0.0576870648695669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1.5 km below Qu'Appelle R. Inflow Centre","BPL below Qu'ap inflow",2015-06-01,"2015","Jun",152,50.68295,50.68295,NA,NA,41.944936667636,28.5715467902325,7.11878911051982,1.20280546246452,0.0196442655733611,0.0200405649518642,0.980225139388289,0.713269743494292,1.58479042346276,9.31144655709276,0.903020396366003,5.60307484030063,3.05025688996526,NA,1.94078668816489,0.757457203706658,0.195888740533416,2.00877726958412,NA,0.0558388923877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1.5 km below Qu'Appelle R. Inflow East","BPL below Qu'ap inflow (E - east side)",2015-06-01,"2015","Jun",152,50.65615,50.65615,NA,NA,36.2555538082023,24.5940528614065,6.13544856852976,1.03414058268353,0.0197418623090547,0.0201491889827551,0.979784463084394,0.720195886544432,1.57370365874099,8.52710222044708,0.895036289433969,4.97429016948524,2.68244420257469,NA,1.67843533559636,0.681184813832766,0.180194103350517,1.72872365465405,NA,0.0519584514862293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1.5 km below Qu'Appelle R. Inflow West","BPL below Qu'ap. inflow (W)",2015-06-01,"2015","Jun",152,50.76727,50.76727,NA,NA,39.7592350037767,26.8595691267431,6.62906459982325,1.08810912358193,0.0198669387495543,0.0204347165739737,0.97221503795445,0.71900162485233,1.58002594409877,9.96713372374142,0.908818472976652,5.34652302988839,2.93500481186223,NA,1.85910048511586,0.730804174297508,0.191847834537688,1.92129247228398,NA,0.0533464017394773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","0.5 mi Below Causeway","BPL 0.5 miles below causeway",2015-06-01,"2015","Jun",152,NA,NA,NA,NA,29.0077267929892,19.8156757505282,4.83101911881524,0.777664487382332,0.0201521206849473,0.0205757521785797,0.97941112966585,0.724894962711074,1.57933052255119,9.18572190675894,0.901823355364098,3.96298747022603,2.15117598149753,NA,1.3598759651257,0.531432419279143,0.136170677020184,1.40749885990422,NA,0.0389613336104488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Opposite South Lake","BPL opp. South lake",2015-06-01,"2015","Jun",152,50.97,-105.95,NA,NA,23.7681076955607,16.2929071916572,4.01213595613952,0.663161801487095,0.0200877899745381,0.0202743864987347,0.990796440414694,0.733815919917911,1.59030228634081,8.7161770428906,0.897078861821306,3.32496358246783,1.79342021065203,NA,1.12563271061102,0.444076534290166,0.115218662987025,1.16415144523292,NA,0.0325000111261209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Opposite Sun Valley","BPL opp. Sun Valley",2015-06-01,"2015","Jun",152,50.97,-105.95,NA,NA,20.5854736279705,14.1166140551705,3.45577694793167,0.562990795019721,0.0202321580773492,0.0203685240503902,0.993305063601877,0.749732861052654,1.58136190115865,7.72724047099296,0.885416243161428,2.87058982024277,1.52348680834069,NA,0.953981470480931,0.374942233718384,0.0988792334204481,0.98547692602008,NA,0.0283404236124475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Opposite Sun Valley","BPL opp. Sun Valley",2015-06-01,"2015","Jun",152,50.95,-106.32,NA,NA,22.7368019727119,15.5963912812631,3.83233590684199,0.641081289431813,0.020115231656257,0.0202913258784912,0.991321699563218,0.741480881155157,1.59088730172589,7.87058341190061,0.887267843211032,3.19207630810509,1.70569092286513,NA,1.07321417500607,0.419727149776224,0.108530857855364,1.11110139354668,NA,0.0316086500687438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Opposite Parkview","BP opp. park view",2015-06-01,"2015","Jun",152,50.95,-106.32,NA,NA,19.1535009735475,13.0598693628705,3.08748860298021,0.490958941092232,0.020883888163876,0.0206455263161744,1.01154544786368,0.76435348571442,1.59028199553483,6.91304937945583,0.873626467870119,2.68710381866713,1.3992227860261,NA,0.873248582181846,0.338044749804665,0.0904006613575699,0.908362337074346,NA,0.0264327890365456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
