date_ymd,year,month,DOC_mg.L,chla_ug.L,TP_ug.L,SRP_ug.L,SO4_mg.L,DON_mg.L,NO3_mg.L,NH3_mg.L,SK05JG004_combined_cms,SK05JG006_cms,RC_IC_cms
1990-01-01,1990,1,3.7640000000000002,7.4,42.5,20.25,92.8,0.35400000000000004,0.135,0.015,1.5903225806451613,1.5967741935483872,0
1990-02-01,1990,2,3.73,10.666666666666666,36,5,97.75,0.38,0.042499999999999996,0,0.9405714285714286,0.9364285714285714,0
1990-03-01,1990,3,3.8475,10,26.666666666666668,2.3333333333333335,95.25,0.39666666666666667,0.0025,0,2.6980645161290324,1.492258064516129,0.681258064516129
1990-04-01,1990,4,3.292,4.5,38.666666666666664,12.666666666666666,87,0.3975,0.016,0,4.017666666666667,3.8946666666666667,0.06376666666666667
1990-05-01,1990,5,3.4075,1,47,10,86,0.38,0,0,12.061290322580644,11.806451612903226,0.01132258064516129
1990-06-01,1990,6,3.495,2.25,30.666666666666668,9,82,0.365,0,0,12.463333333333333,12.423333333333334,0.012166666666666666
1990-07-01,1990,7,4.002,22.75,70.2,12.6,77.8,0.648,0,0,10.410967741935483,10.57741935483871,0.0014193548387096775
1990-08-01,1990,8,4.775,18.25,24,0,72,0.5066666666666667,0.3075,0,6.8264516129032256,6.725483870967742,6.451612903225806e-4
1990-09-01,1990,9,4.29,9,62.666666666666664,31.333333333333332,71.25,0.43,0.21000000000000002,0,6.434666666666667,6.254,3.3333333333333335e-5
1990-10-01,1990,10,4.158,2.6,64.75,34,74.8,0.4425,0.2275,0.02,2.580709677419355,2.452903225806452,4.516129032258065e-4
1990-11-01,1990,11,3.9625,3.25,41.5,28.333333333333332,75.75,0.43,0.22,0.12666666666666668,1.3286,1.442,0.003999856666666667
1990-12-01,1990,12,4.2325,1.6666666666666667,28,22,81,0.39666666666666667,0.3175,0.035,1.1906451612903226,1.362258064516129,0
1991-01-01,1991,1,4.612386741259551,0.25,16.5,21.5,87,0.3975,0.4475,0.12,1.097258064516129,1.4129032258064516,0
1991-02-01,1991,2,4.767517921337633,6.075,14,4,83,0.47,0.375,0.03,1.7871428571428571,1.7132142857142858,0.012496693342741061
1991-03-01,1991,3,4.417623927385054,4,24.5,0,84.66666666666667,0.38,0.28,0,2.1229032258064517,2.1354838709677417,0.08509677419354839
1991-04-01,1991,4,4.364530466011612,2.3333333333333335,32,5.333333333333333,72.8,0.378,0.060000000000000005,0.016666666666666666,5.056,5.508666666666667,0.04243333333333334
1991-05-01,1991,5,4.31552111705151,1,17,6,65,0.36,0.095,0.09,8.501870967741935,7.801677419354839,0.08048387096774194
1991-06-01,1991,6,4.00921268605088,3.15,36.333333333333336,22.5,62.7,0.31333333333333335,0.030000000000000002,0.04,10.054333333333334,8.707,0.44393333333333335
1991-07-01,1991,7,5.042493126626341,21.4,97.33333333333333,61,60,0.554,0.004,0.041999999999999996,4.667419354838709,3.8122580645161293,0.7875161290322581
1991-08-01,1991,8,10.48253086119754,113.75,201,69.75,56.75,1.2774999999999999,0.02,0.1125,4.712580645161291,5.5606451612903225,0.006548387096774194
1991-09-01,1991,9,7.917708265618927,34.2,202,98.5,78.6,0.798,0.552,0.12,4.881666666666667,4.7459999999999996,0.002266666666666667
1991-10-01,1991,10,6.23505395132213,30,82.5,12,99.5,0.8925,0.53,0,2.6006774193548385,2.500967741935484,0.0057741935483870965
1991-11-01,1991,11,5.642857651387577,13.25,49,12.5,108.75,0.7175,0.4675,0.0325,1.286,1.432,0.016946703333333334
1991-12-01,1991,12,5.479493154853907,28,84,19.666666666666668,116.75,0.6233333333333333,0.3175,0.06333333333333334,1.1619354838709677,1.46,0
1992-01-01,1992,1,6.23505395132213,2.5,53,33,126.25,0.54,0.6225,0.25,1.3674193548387097,1.6261290322580644,0
1992-02-01,1992,2,5.622437089320869,0,59,49,127.75,0.5266666666666667,0.6475,0.33499999999999996,1.6320689655172413,1.6048275862068966,0.20517241379310344
1992-03-01,1992,3,6.104362354095194,23,51.25,9,121.2,0.668,0.23399999999999999,0.08,3.1717096774193547,1.5803225806451613,0.9507096774193549
1992-04-01,1992,4,5.193605285919986,11.75,46.25,1.25,92.25,0.47250000000000003,0.015,0,2.6686666666666667,2.594,0.11076666666666667
1992-05-01,1992,5,4.580988423918724,6.666666666666667,48.5,7.333333333333333,95,0.4125,0.0325,0,7.390967741935484,7.312258064516129,0.010419354838709677
1992-06-01,1992,6,4.568736086678699,3.8,39,12,96.8,0.402,0.018,0,9.073333333333334,8.993333333333334,0.0033
1992-07-01,1992,7,4.1582827891378535,5,51,17,95.75,0.44666666666666666,0.01,0,7.580967741935484,7.737741935483871,7.741935483870968e-4
1992-08-01,1992,8,4.8137828314792035,11.4,59.75,16.5,84.6,0.5720000000000001,0.012,0,6.47,6.123870967741936,0
1992-09-01,1992,9,5.602016527254159,10.333333333333334,66,22.666666666666668,74.75,0.5566666666666666,0.006666666666666667,0,3.772333333333333,3.447,0.0058000000000000005
1992-10-01,1992,10,5.683698775520995,8.25,57.666666666666664,16,76,0.47000000000000003,0.0033333333333333335,0.03,1.7806451612903227,1.7745161290322582,0.007774193548387097
1992-11-01,1992,11,5.712287562414387,15,70.25,13.5,74.66666666666667,0.52,0.013333333333333334,0.07400000000000001,2.2983333333333333,2.4833333333333334,0.009046703333333333
1992-12-01,1992,12,5.540754841054033,11.666666666666666,50,12.333333333333334,81.75,0.505,0.12,0.06666666666666667,1.3658064516129031,1.6041935483870968,0
1993-01-01,1993,1,5.336549220386947,9,42.666666666666664,21.25,87.5,0.365,0.26,0.0475,1.2316129032258065,1.540967741935484,0
1993-02-01,1993,2,6.092110016855169,10.333333333333334,44.5,30,92.5,0.4425,0.35250000000000004,0.030000000000000002,1.275,1.460357142857143,0.02407279789049027
1993-03-01,1993,3,6.741483890576506,12,49.5,2,89,0.54,0.05666666666666667,0.013333333333333334,1.2603225806451612,1.4832258064516128,0.20706451612903226
1993-04-01,1993,4,6.112530578921877,4.5,41.666666666666664,5,74.33333333333333,0.8033333333333333,0,0.23666666666666666,4.897333333333333,5.014333333333333,0.06373333333333334
1993-05-01,1993,5,5.140511824546542,4,44,7.4,69.2,0.536,0,0.084,9.600193548387097,9.717032258064515,0.00967741935483871
1993-06-01,1993,6,5.084511122362941,25.5,53.75,6,74.5,0.695,0.055,0.0475,10.595333333333333,10.783333333333333,0.0014
1993-07-01,1993,7,4.8,23.25,78.5,8.5,74.25,0.8250000000000001,0.025,0.05,5.01741935483871,4.8670967741935485,0.022870967741935484
1993-08-01,1993,8,5.46,38.6,74.4,8,71,0.926,0.06999999999999999,0.03,3.7558064516129033,3.3429032258064515,0.16893548387096774
1993-09-01,1993,9,4.65,14.5,62.5,10,73.5,0.7125,0.042499999999999996,0.04,2.978,2.7956666666666665,0.05043333333333333
1993-10-01,1993,10,4.6000000000000005,12.5,67.25,13,78,0.6950000000000001,0.02,0.065,2.371290322580645,2.4016129032258067,0.017612903225806453
1993-11-01,1993,11,4.02,11.4,50.25,8.25,86,0.648,0.134,0.028,1.9860666666666666,2.026666666666667,0.0018
1993-12-01,1993,12,4.725,7,30.333333333333332,7.666666666666667,90,0.5166666666666667,0.195,0.12,1.7240967741935485,1.6145806451612903,0
1994-01-01,1994,1,4.3999999999999995,6,37.6,16,94.6,0.476,0.262,0.198,1.3574193548387097,1.47,0
1994-02-01,1994,2,4.925,2.6666666666666665,35.25,22.75,97.5,0.43,0.38749999999999996,0.31,1.3035714285714286,1.5035714285714286,0
1994-03-01,1994,3,5.225,15.5,58.75,9.5,95.25,0.5925,0.4875,0.185,10.164838709677419,0.14406451612903226,3.5799032258064516
1994-04-01,1994,4,6.05,33.333333333333336,73.33333333333333,8,85.33333333333333,0.87,0.02,0.08,2.1284,0.04303333333333333,0.5737
1994-05-01,1994,5,6.1000000000000005,9.4,55,13.2,78.2,0.6880000000000001,0.008,0.116,0.5973548387096774,0.18296774193548387,0.0682258064516129
1994-06-01,1994,6,6.125,13.75,64,9.25,89.5,0.9550000000000001,0,0.12000000000000001,3.3689999999999998,3.312,0.0264
1994-07-01,1994,7,6.225,18.5,81,6.75,96.25,0.9833333333333334,0,0.07,3.035806451612903,3.529677419354839,0.012129032258064516
1994-08-01,1994,8,7.319999999999999,16.28,75.75,8,104.2,0.9640000000000001,0.06,0.10200000000000001,3.814193548387097,4.136451612903226,4.838709677419355e-4
1994-09-01,1994,9,6.8,23,62.5,5.5,115,0.9025,0.06,0.095,3.369666666666667,3.476,5.333333333333334e-4
1994-10-01,1994,10,7.06,24.75,72.4,10.2,117.8,1.05,0.092,0.074,2.2590322580645164,2.2238709677419357,0.006516129032258065
1994-11-01,1994,11,7.025,26,54.5,3.25,122.5,0.9,0,0.12333333333333334,1.3993333333333333,1.5623333333333334,0.004199283333333333
1994-12-01,1994,12,7.975,25,39,4,133,0.85,0.075,0.11,1.243548387096774,1.3758064516129032,0
1995-01-01,1995,1,8.44,8,41,5.666666666666667,143.3,0.8033333333333333,0.15,0.10666666666666667,1.2958064516129033,1.3712903225806452,0
1995-02-01,1995,2,8.525,16.75,37.5,2.25,144.25,0.8075,0.1625,0.01,1.5915,1.6017857142857141,0
1995-03-01,1995,3,8.7,11,47.25,3,132.5,0.8825000000000001,0,0.015,2.1380645161290324,1.8564516129032258,0.037096774193548385
1995-04-01,1995,4,6.55,5,41,3,106.66666666666667,0.69,0,0,3.846,3.766,0.021733333333333334
1995-05-01,1995,5,6.279999999999999,3.2,32.2,4,103.6,0.544,0,0.008,4.249677419354839,5.4641935483870965,0.02738709677419355
