MOOSE JAW RIVER NEAR BURDICK,,Average Daily ,,Discharge
Data Start Time,01/01/2014 12:15:00 AM
Data End Time,23/06/2015 7:10:00 AM
Time Stamp,,,m^3/s
02/01/2014 12:00:00 AM,,,0.216
03/01/2014 12:00:00 AM,,,0.222
04/01/2014 12:00:00 AM,,,0.216
05/01/2014 12:00:00 AM,,,0.214
06/01/2014 12:00:00 AM,,,0.223
07/01/2014 12:00:00 AM,,,0.231
08/01/2014 12:00:00 AM,,,0.231
09/01/2014 12:00:00 AM,,,0.229
10/01/2014 12:00:00 AM,,,0.257
11/01/2014 12:00:00 AM,,,0.278
12/01/2014 12:00:00 AM,,,0.279
13/01/2014 12:00:00 AM,,,0.302
14/01/2014 12:00:00 AM,,,0.321
15/01/2014 12:00:00 AM,,,0.303
16/01/2014 12:00:00 AM,,,0.229
17/01/2014 12:00:00 AM,,,0.213
18/01/2014 12:00:00 AM,,,0.211
19/01/2014 12:00:00 AM,,,0.211
20/01/2014 12:00:00 AM,,,0.210
21/01/2014 12:00:00 AM,,,0.211
22/01/2014 12:00:00 AM,,,0.206
23/01/2014 12:00:00 AM,,,0.209
24/01/2014 12:00:00 AM,,,0.218
25/01/2014 12:00:00 AM,,,0.218
26/01/2014 12:00:00 AM,,,0.216
27/01/2014 12:00:00 AM,,,0.223
28/01/2014 12:00:00 AM,,,0.209
29/01/2014 12:00:00 AM,,,0.210
30/01/2014 12:00:00 AM,,,0.206
31/01/2014 12:00:00 AM,,,0.203
01/02/2014 12:00:00 AM,,,0.204
02/02/2014 12:00:00 AM,,,0.205
03/02/2014 12:00:00 AM,,,0.211
04/02/2014 12:00:00 AM,,,0.183
05/02/2014 12:00:00 AM,,,0.165
06/02/2014 12:00:00 AM,,,0.165
07/02/2014 12:00:00 AM,,,0.165
08/02/2014 12:00:00 AM,,,0.172
09/02/2014 12:00:00 AM,,,0.165
10/02/2014 12:00:00 AM,,,0.176
11/02/2014 12:00:00 AM,,,0.184
12/02/2014 12:00:00 AM,,,0.171
13/02/2014 12:00:00 AM,,,0.185
14/02/2014 12:00:00 AM,,,0.174
15/02/2014 12:00:00 AM,,,0.177
16/02/2014 12:00:00 AM,,,0.182
17/02/2014 12:00:00 AM,,,0.188
18/02/2014 12:00:00 AM,,,0.185
19/02/2014 12:00:00 AM,,,0.126
20/02/2014 12:00:00 AM,,,0.077
21/02/2014 12:00:00 AM,,,0.063
22/02/2014 12:00:00 AM,,,0.055
23/02/2014 12:00:00 AM,,,0.051
24/02/2014 12:00:00 AM,,,0.047
25/02/2014 12:00:00 AM,,,0.043
26/02/2014 12:00:00 AM,,,0.041
27/02/2014 12:00:00 AM,,,0.041
28/02/2014 12:00:00 AM,,,0.039
01/03/2014 12:00:00 AM,,,0.037
02/03/2014 12:00:00 AM,,,0.034
03/03/2014 12:00:00 AM,,,0.034
04/03/2014 12:00:00 AM,,,0.034
05/03/2014 12:00:00 AM,,,0.034
06/03/2014 12:00:00 AM,,,0.036
07/03/2014 12:00:00 AM,,,0.033
08/03/2014 12:00:00 AM,,,0.032
09/03/2014 12:00:00 AM,,,0.032
10/03/2014 12:00:00 AM,,,0.079
11/03/2014 12:00:00 AM,,,0.243
12/03/2014 12:00:00 AM,,,0.391
13/03/2014 12:00:00 AM,,,1.182
14/03/2014 12:00:00 AM,,,2.497
15/03/2014 12:00:00 AM,,,3.250
16/03/2014 12:00:00 AM,,,3.171
17/03/2014 12:00:00 AM,,,6.557
18/03/2014 12:00:00 AM,,,15.397
19/03/2014 12:00:00 AM,,,22.068
20/03/2014 12:00:00 AM,,,27.416
21/03/2014 12:00:00 AM,,,20.760
22/03/2014 12:00:00 AM,,,13.664
23/03/2014 12:00:00 AM,,,11.976
24/03/2014 12:00:00 AM,,,10.496
25/03/2014 12:00:00 AM,,,9.199
26/03/2014 12:00:00 AM,,,8.061
27/03/2014 12:00:00 AM,,,7.064
28/03/2014 12:00:00 AM,,,6.189
29/03/2014 12:00:00 AM,,,5.422
30/03/2014 12:00:00 AM,,,4.984
31/03/2014 12:00:00 AM,,,6.131
01/04/2014 12:00:00 AM,,,7.866
02/04/2014 12:00:00 AM,,,7.903
03/04/2014 12:00:00 AM,,,7.307
04/04/2014 12:00:00 AM,,,7.166
05/04/2014 12:00:00 AM,,,8.465
06/04/2014 12:00:00 AM,,,10.348
07/04/2014 12:00:00 AM,,,16.836
08/04/2014 12:00:00 AM,,,23.456
09/04/2014 12:00:00 AM,,,31.871
10/04/2014 12:00:00 AM,,,38.362
11/04/2014 12:00:00 AM,,,35.868
12/04/2014 12:00:00 AM,,,30.432
13/04/2014 12:00:00 AM,,,25.687
14/04/2014 12:00:00 AM,,,22.434
15/04/2014 12:00:00 AM,,,19.217
16/04/2014 12:00:00 AM,,,15.866
17/04/2014 12:00:00 AM,,,13.666
18/04/2014 12:00:00 AM,,,11.518
19/04/2014 12:00:00 AM,,,10.141
20/04/2014 12:00:00 AM,,,8.760
21/04/2014 12:00:00 AM,,,7.998
22/04/2014 12:00:00 AM,,,7.387
