QU'APPELLE RIVER NEAR LUMSDEN,,Average Daily ,,Discharge
Data Start Time,01/01/2014 12:00:00 AM
Data End Time,23/06/2015 10:40:21 AM
Time Stamp,,,m^3/s
01/01/2014 12:00:00 AM,,,1.342
02/01/2014 12:00:00 AM,,,1.342
03/01/2014 12:00:00 AM,,,1.339
04/01/2014 12:00:00 AM,,,1.345
05/01/2014 12:00:00 AM,,,1.343
06/01/2014 12:00:00 AM,,,1.347
07/01/2014 12:00:00 AM,,,1.335
08/01/2014 12:00:00 AM,,,1.336
09/01/2014 12:00:00 AM,,,1.337
10/01/2014 12:00:00 AM,,,1.341
11/01/2014 12:00:00 AM,,,1.343
12/01/2014 12:00:00 AM,,,1.346
13/01/2014 12:00:00 AM,,,1.354
14/01/2014 12:00:00 AM,,,1.354
15/01/2014 12:00:00 AM,,,1.345
16/01/2014 12:00:00 AM,,,1.330
17/01/2014 12:00:00 AM,,,1.250
18/01/2014 12:00:00 AM,,,1.274
19/01/2014 12:00:00 AM,,,1.312
20/01/2014 12:00:00 AM,,,1.351
21/01/2014 12:00:00 AM,,,1.362
22/01/2014 12:00:00 AM,,,1.366
23/01/2014 12:00:00 AM,,,1.357
24/01/2014 12:00:00 AM,,,1.332
25/01/2014 12:00:00 AM,,,1.317
26/01/2014 12:00:00 AM,,,1.316
27/01/2014 12:00:00 AM,,,1.316
28/01/2014 12:00:00 AM,,,1.293
29/01/2014 12:00:00 AM,,,1.263
30/01/2014 12:00:00 AM,,,1.240
31/01/2014 12:00:00 AM,,,1.228
01/02/2014 12:00:00 AM,,,1.273
02/02/2014 12:00:00 AM,,,1.394
03/02/2014 12:00:00 AM,,,1.485
04/02/2014 12:00:00 AM,,,1.535
05/02/2014 12:00:00 AM,,,1.545
06/02/2014 12:00:00 AM,,,1.506
07/02/2014 12:00:00 AM,,,1.442
08/02/2014 12:00:00 AM,,,1.387
09/02/2014 12:00:00 AM,,,1.388
10/02/2014 12:00:00 AM,,,1.383
11/02/2014 12:00:00 AM,,,1.422
12/02/2014 12:00:00 AM,,,1.484
13/02/2014 12:00:00 AM,,,1.479
14/02/2014 12:00:00 AM,,,1.350
15/02/2014 12:00:00 AM,,,1.192
16/02/2014 12:00:00 AM,,,1.174
17/02/2014 12:00:00 AM,,,1.200
18/02/2014 12:00:00 AM,,,1.274
19/02/2014 12:00:00 AM,,,1.339
20/02/2014 12:00:00 AM,,,1.365
21/02/2014 12:00:00 AM,,,1.344
22/02/2014 12:00:00 AM,,,1.345
23/02/2014 12:00:00 AM,,,1.359
24/02/2014 12:00:00 AM,,,1.377
25/02/2014 12:00:00 AM,,,1.404
26/02/2014 12:00:00 AM,,,1.439
27/02/2014 12:00:00 AM,,,1.466
28/02/2014 12:00:00 AM,,,1.467
01/03/2014 12:00:00 AM,,,1.449
02/03/2014 12:00:00 AM,,,1.457
03/03/2014 12:00:00 AM,,,1.476
04/03/2014 12:00:00 AM,,,1.469
05/03/2014 12:00:00 AM,,,1.443
06/03/2014 12:00:00 AM,,,1.422
07/03/2014 12:00:00 AM,,,1.415
08/03/2014 12:00:00 AM,,,1.424
09/03/2014 12:00:00 AM,,,1.431
10/03/2014 12:00:00 AM,,,1.420
11/03/2014 12:00:00 AM,,,1.408
12/03/2014 12:00:00 AM,,,1.414
13/03/2014 12:00:00 AM,,,1.402
14/03/2014 12:00:00 AM,,,1.415
15/03/2014 12:00:00 AM,,,1.556
16/03/2014 12:00:00 AM,,,1.689
17/03/2014 12:00:00 AM,,,2.757
18/03/2014 12:00:00 AM,,,2.938
19/03/2014 12:00:00 AM,,,4.335
20/03/2014 12:00:00 AM,,,16.166
21/03/2014 12:00:00 AM,,,23.017
22/03/2014 12:00:00 AM,,,14.478
23/03/2014 12:00:00 AM,,,7.898
24/03/2014 12:00:00 AM,,,5.759
25/03/2014 12:00:00 AM,,,5.686
26/03/2014 12:00:00 AM,,,5.946
27/03/2014 12:00:00 AM,,,7.028
28/03/2014 12:00:00 AM,,,8.460
29/03/2014 12:00:00 AM,,,8.656
30/03/2014 12:00:00 AM,,,8.139
31/03/2014 12:00:00 AM,,,7.067
01/04/2014 12:00:00 AM,,,6.178
02/04/2014 12:00:00 AM,,,5.462
03/04/2014 12:00:00 AM,,,5.278
04/04/2014 12:00:00 AM,,,5.759
05/04/2014 12:00:00 AM,,,4.941
06/04/2014 12:00:00 AM,,,5.361
07/04/2014 12:00:00 AM,,,9.284
08/04/2014 12:00:00 AM,,,20.905
