ELBOW DIVERSION CANAL AT DROP STRUCTURE,,Average Daily ,,Discharge
Data Start Time,01/06/2014 12:00:00 AM
Data End Time,11/06/2015 3:49:38 PM
Time Stamp,,,m^3/s
01/06/2014 12:00:00 AM,,,0.036
02/06/2014 12:00:00 AM,,,0.033
03/06/2014 12:00:00 AM,,,0.027
04/06/2014 12:00:00 AM,,,0.036
05/06/2014 12:00:00 AM,,,0.027
06/06/2014 12:00:00 AM,,,0.024
07/06/2014 12:00:00 AM,,,0.025
08/06/2014 12:00:00 AM,,,0.024
09/06/2014 12:00:00 AM,,,0.026
10/06/2014 12:00:00 AM,,,0.021
11/06/2014 12:00:00 AM,,,0.023
12/06/2014 12:00:00 AM,,,0.024
13/06/2014 12:00:00 AM,,,0.028
14/06/2014 12:00:00 AM,,,0.051
15/06/2014 12:00:00 AM,,,0.047
16/06/2014 12:00:00 AM,,,0.032
17/06/2014 12:00:00 AM,,,0.026
18/06/2014 12:00:00 AM,,,0.058
19/06/2014 12:00:00 AM,,,0.082
20/06/2014 12:00:00 AM,,,0.047
21/06/2014 12:00:00 AM,,,0.046
22/06/2014 12:00:00 AM,,,0.029
23/06/2014 12:00:00 AM,,,0.036
24/06/2014 12:00:00 AM,,,0.041
25/06/2014 12:00:00 AM,,,0.038
26/06/2014 12:00:00 AM,,,0.062
27/06/2014 12:00:00 AM,,,0.036
28/06/2014 12:00:00 AM,,,0.030
29/06/2014 12:00:00 AM,,,0.033
30/06/2014 12:00:00 AM,,,0.036
01/07/2014 12:00:00 AM,,,0.035
02/07/2014 12:00:00 AM,,,0.030
03/07/2014 12:00:00 AM,,,0.027
04/07/2014 12:00:00 AM,,,0.028
05/07/2014 12:00:00 AM,,,0.028
06/07/2014 12:00:00 AM,,,0.028
07/07/2014 12:00:00 AM,,,0.028
08/07/2014 12:00:00 AM,,,0.028
09/07/2014 12:00:00 AM,,,0.027
10/07/2014 12:00:00 AM,,,0.028
11/07/2014 12:00:00 AM,,,0.029
12/07/2014 12:00:00 AM,,,0.029
13/07/2014 12:00:00 AM,,,0.029
14/07/2014 12:00:00 AM,,,0.030
15/07/2014 12:00:00 AM,,,0.527
16/07/2014 12:00:00 AM,,,1.672
17/07/2014 12:00:00 AM,,,1.675
18/07/2014 12:00:00 AM,,,1.668
19/07/2014 12:00:00 AM,,,1.664
20/07/2014 12:00:00 AM,,,1.659
21/07/2014 12:00:00 AM,,,1.674
22/07/2014 12:00:00 AM,,,1.655
23/07/2014 12:00:00 AM,,,1.651
24/07/2014 12:00:00 AM,,,1.670
25/07/2014 12:00:00 AM,,,1.963
26/07/2014 12:00:00 AM,,,2.354
27/07/2014 12:00:00 AM,,,2.376
28/07/2014 12:00:00 AM,,,2.370
29/07/2014 12:00:00 AM,,,2.374
30/07/2014 12:00:00 AM,,,2.373
31/07/2014 12:00:00 AM,,,2.296
01/08/2014 12:00:00 AM,,,2.427
02/08/2014 12:00:00 AM,,,2.228
03/08/2014 12:00:00 AM,,,2.208
04/08/2014 12:00:00 AM,,,2.202
05/08/2014 12:00:00 AM,,,2.204
06/08/2014 12:00:00 AM,,,2.176
07/08/2014 12:00:00 AM,,,2.185
08/08/2014 12:00:00 AM,,,2.181
09/08/2014 12:00:00 AM,,,2.159
10/08/2014 12:00:00 AM,,,2.146
11/08/2014 12:00:00 AM,,,2.125
