ELBOW DIVERSION CANAL AT DROP STRUCTURE,,Average Daily ,,Stage
Data Start Time,01/01/2004 12:00:05 PM
Data End Time,11/06/2015 3:25:00 PM
Time Stamp,,,m
02/01/2004 12:00:00 AM,,,
03/01/2004 12:00:00 AM,,,
04/01/2004 12:00:00 AM,,,
05/01/2004 12:00:00 AM,,,
06/01/2004 12:00:00 AM,,,
07/01/2004 12:00:00 AM,,,
08/01/2004 12:00:00 AM,,,
09/01/2004 12:00:00 AM,,,
10/01/2004 12:00:00 AM,,,
11/01/2004 12:00:00 AM,,,
12/01/2004 12:00:00 AM,,,
13/01/2004 12:00:00 AM,,,
14/01/2004 12:00:00 AM,,,
15/01/2004 12:00:00 AM,,,
16/01/2004 12:00:00 AM,,,
17/01/2004 12:00:00 AM,,,
18/01/2004 12:00:00 AM,,,
19/01/2004 12:00:00 AM,,,
20/01/2004 12:00:00 AM,,,
21/01/2004 12:00:00 AM,,,
22/01/2004 12:00:00 AM,,,
23/01/2004 12:00:00 AM,,,
24/01/2004 12:00:00 AM,,,
25/01/2004 12:00:00 AM,,,
26/01/2004 12:00:00 AM,,,
27/01/2004 12:00:00 AM,,,
28/01/2004 12:00:00 AM,,,
29/01/2004 12:00:00 AM,,,
30/01/2004 12:00:00 AM,,,
31/01/2004 12:00:00 AM,,,
01/02/2004 12:00:00 AM,,,
02/02/2004 12:00:00 AM,,,
03/02/2004 12:00:00 AM,,,
04/02/2004 12:00:00 AM,,,
05/02/2004 12:00:00 AM,,,
06/02/2004 12:00:00 AM,,,
07/02/2004 12:00:00 AM,,,1.340
08/02/2004 12:00:00 AM,,,1.338
09/02/2004 12:00:00 AM,,,
10/02/2004 12:00:00 AM,,,
11/02/2004 12:00:00 AM,,,
12/02/2004 12:00:00 AM,,,
13/02/2004 12:00:00 AM,,,
14/02/2004 12:00:00 AM,,,
15/02/2004 12:00:00 AM,,,
16/02/2004 12:00:00 AM,,,
17/02/2004 12:00:00 AM,,,
18/02/2004 12:00:00 AM,,,
19/02/2004 12:00:00 AM,,,
20/02/2004 12:00:00 AM,,,
21/02/2004 12:00:00 AM,,,1.339
22/02/2004 12:00:00 AM,,,1.340
23/02/2004 12:00:00 AM,,,1.339
24/02/2004 12:00:00 AM,,,1.339
25/02/2004 12:00:00 AM,,,1.339
26/02/2004 12:00:00 AM,,,
27/02/2004 12:00:00 AM,,,
28/02/2004 12:00:00 AM,,,
29/02/2004 12:00:00 AM,,,
01/03/2004 12:00:00 AM,,,
02/03/2004 12:00:00 AM,,,
03/03/2004 12:00:00 AM,,,
04/03/2004 12:00:00 AM,,,
05/03/2004 12:00:00 AM,,,
06/03/2004 12:00:00 AM,,,1.339
07/03/2004 12:00:00 AM,,,1.339
08/03/2004 12:00:00 AM,,,1.340
09/03/2004 12:00:00 AM,,,1.342
10/03/2004 12:00:00 AM,,,
11/03/2004 12:00:00 AM,,,
12/03/2004 12:00:00 AM,,,
13/03/2004 12:00:00 AM,,,
14/03/2004 12:00:00 AM,,,
15/03/2004 12:00:00 AM,,,
16/03/2004 12:00:00 AM,,,
17/03/2004 12:00:00 AM,,,
18/03/2004 12:00:00 AM,,,
19/03/2004 12:00:00 AM,,,
20/03/2004 12:00:00 AM,,,
21/03/2004 12:00:00 AM,,,1.342
22/03/2004 12:00:00 AM,,,1.342
23/03/2004 12:00:00 AM,,,1.342
24/03/2004 12:00:00 AM,,,1.344
25/03/2004 12:00:00 AM,,,1.343
26/03/2004 12:00:00 AM,,,
27/03/2004 12:00:00 AM,,,
28/03/2004 12:00:00 AM,,,1.472
29/03/2004 12:00:00 AM,,,1.472
30/03/2004 12:00:00 AM,,,1.473
31/03/2004 12:00:00 AM,,,1.474
01/04/2004 12:00:00 AM,,,1.476
02/04/2004 12:00:00 AM,,,1.503
03/04/2004 12:00:00 AM,,,1.547
04/04/2004 12:00:00 AM,,,1.549
05/04/2004 12:00:00 AM,,,1.607
06/04/2004 12:00:00 AM,,,1.663
07/04/2004 12:00:00 AM,,,1.663
08/04/2004 12:00:00 AM,,,1.661
09/04/2004 12:00:00 AM,,,1.662
10/04/2004 12:00:00 AM,,,1.663
11/04/2004 12:00:00 AM,,,1.662
12/04/2004 12:00:00 AM,,,1.663
13/04/2004 12:00:00 AM,,,1.664
14/04/2004 12:00:00 AM,,,1.663
15/04/2004 12:00:00 AM,,,
16/04/2004 12:00:00 AM,,,
17/04/2004 12:00:00 AM,,,
18/04/2004 12:00:00 AM,,,1.768
19/04/2004 12:00:00 AM,,,1.768
20/04/2004 12:00:00 AM,,,1.768
21/04/2004 12:00:00 AM,,,1.768
22/04/2004 12:00:00 AM,,,
23/04/2004 12:00:00 AM,,,
24/04/2004 12:00:00 AM,,,1.771
25/04/2004 12:00:00 AM,,,
26/04/2004 12:00:00 AM,,,1.771
27/04/2004 12:00:00 AM,,,1.772
28/04/2004 12:00:00 AM,,,1.773
29/04/2004 12:00:00 AM,,,1.773
30/04/2004 12:00:00 AM,,,1.773
01/05/2004 12:00:00 AM,,,1.773
02/05/2004 12:00:00 AM,,,1.773
03/05/2004 12:00:00 AM,,,
04/05/2004 12:00:00 AM,,,
05/05/2004 12:00:00 AM,,,
06/05/2004 12:00:00 AM,,,
07/05/2004 12:00:00 AM,,,1.776
08/05/2004 12:00:00 AM,,,1.777
09/05/2004 12:00:00 AM,,,1.779
10/05/2004 12:00:00 AM,,,1.778
11/05/2004 12:00:00 AM,,,1.778
12/05/2004 12:00:00 AM,,,1.778
13/05/2004 12:00:00 AM,,,1.773
14/05/2004 12:00:00 AM,,,1.768
15/05/2004 12:00:00 AM,,,1.768
16/05/2004 12:00:00 AM,,,1.767
17/05/2004 12:00:00 AM,,,1.768
18/05/2004 12:00:00 AM,,,1.768
19/05/2004 12:00:00 AM,,,1.768
20/05/2004 12:00:00 AM,,,1.767
21/05/2004 12:00:00 AM,,,1.770
22/05/2004 12:00:00 AM,,,1.772
23/05/2004 12:00:00 AM,,,1.773
24/05/2004 12:00:00 AM,,,1.774
25/05/2004 12:00:00 AM,,,1.846
26/05/2004 12:00:00 AM,,,1.919
27/05/2004 12:00:00 AM,,,1.765
28/05/2004 12:00:00 AM,,,1.437
29/05/2004 12:00:00 AM,,,1.437
30/05/2004 12:00:00 AM,,,1.438
31/05/2004 12:00:00 AM,,,1.439
01/06/2004 12:00:00 AM,,,1.439
02/06/2004 12:00:00 AM,,,1.440
03/06/2004 12:00:00 AM,,,1.440
04/06/2004 12:00:00 AM,,,1.441
05/06/2004 12:00:00 AM,,,1.437
06/06/2004 12:00:00 AM,,,1.438
07/06/2004 12:00:00 AM,,,1.440
08/06/2004 12:00:00 AM,,,1.439
09/06/2004 12:00:00 AM,,,1.491
10/06/2004 12:00:00 AM,,,1.540
