BUFFALO POUND LAKE AT PUMPING STATION,,Average Daily ,,Stage
Data Start Time,01/01/2015 12:00:00 AM
Data End Time,12/06/2015 9:28:52 AM
Time Stamp,,,m
01/01/2015 12:00:00 AM,,,509.254
02/01/2015 12:00:00 AM,,,509.259
03/01/2015 12:00:00 AM,,,509.261
04/01/2015 12:00:00 AM,,,509.260
05/01/2015 12:00:00 AM,,,509.257
06/01/2015 12:00:00 AM,,,509.256
07/01/2015 12:00:00 AM,,,509.253
08/01/2015 12:00:00 AM,,,509.253
09/01/2015 12:00:00 AM,,,509.248
10/01/2015 12:00:00 AM,,,509.247
11/01/2015 12:00:00 AM,,,509.245
12/01/2015 12:00:00 AM,,,509.241
13/01/2015 12:00:00 AM,,,509.240
14/01/2015 12:00:00 AM,,,509.239
15/01/2015 12:00:00 AM,,,509.238
16/01/2015 12:00:00 AM,,,509.236
17/01/2015 12:00:00 AM,,,509.237
18/01/2015 12:00:00 AM,,,509.236
19/01/2015 12:00:00 AM,,,509.239
20/01/2015 12:00:00 AM,,,509.239
21/01/2015 12:00:00 AM,,,509.238
22/01/2015 12:00:00 AM,,,509.238
23/01/2015 12:00:00 AM,,,509.236
24/01/2015 12:00:00 AM,,,509.238
25/01/2015 12:00:00 AM,,,509.239
26/01/2015 12:00:00 AM,,,509.238
27/01/2015 12:00:00 AM,,,509.239
28/01/2015 12:00:00 AM,,,509.241
29/01/2015 12:00:00 AM,,,509.240
30/01/2015 12:00:00 AM,,,509.241
31/01/2015 12:00:00 AM,,,509.246
01/02/2015 12:00:00 AM,,,509.243
02/02/2015 12:00:00 AM,,,509.243
03/02/2015 12:00:00 AM,,,509.243
04/02/2015 12:00:00 AM,,,509.241
05/02/2015 12:00:00 AM,,,509.242
06/02/2015 12:00:00 AM,,,509.242
07/02/2015 12:00:00 AM,,,509.241
08/02/2015 12:00:00 AM,,,509.239
09/02/2015 12:00:00 AM,,,509.237
10/02/2015 12:00:00 AM,,,509.241
11/02/2015 12:00:00 AM,,,509.239
12/02/2015 12:00:00 AM,,,509.236
13/02/2015 12:00:00 AM,,,509.236
14/02/2015 12:00:00 AM,,,509.237
15/02/2015 12:00:00 AM,,,509.242
16/02/2015 12:00:00 AM,,,509.242
17/02/2015 12:00:00 AM,,,509.241
18/02/2015 12:00:00 AM,,,509.239
19/02/2015 12:00:00 AM,,,509.238
20/02/2015 12:00:00 AM,,,509.241
21/02/2015 12:00:00 AM,,,509.241
22/02/2015 12:00:00 AM,,,509.239
23/02/2015 12:00:00 AM,,,509.236
24/02/2015 12:00:00 AM,,,509.236
25/02/2015 12:00:00 AM,,,509.237
26/02/2015 12:00:00 AM,,,509.235
27/02/2015 12:00:00 AM,,,509.233
28/02/2015 12:00:00 AM,,,509.232
01/03/2015 12:00:00 AM,,,509.230
02/03/2015 12:00:00 AM,,,509.230
03/03/2015 12:00:00 AM,,,509.228
04/03/2015 12:00:00 AM,,,509.226
05/03/2015 12:00:00 AM,,,509.223
06/03/2015 12:00:00 AM,,,509.221
07/03/2015 12:00:00 AM,,,509.220
08/03/2015 12:00:00 AM,,,509.219
09/03/2015 12:00:00 AM,,,509.219
10/03/2015 12:00:00 AM,,,509.222
11/03/2015 12:00:00 AM,,,509.228
12/03/2015 12:00:00 AM,,,509.242
13/03/2015 12:00:00 AM,,,509.268
14/03/2015 12:00:00 AM,,,509.337
15/03/2015 12:00:00 AM,,,509.452
16/03/2015 12:00:00 AM,,,509.589
17/03/2015 12:00:00 AM,,,509.778
18/03/2015 12:00:00 AM,,,510.054
19/03/2015 12:00:00 AM,,,510.293
20/03/2015 12:00:00 AM,,,510.466
21/03/2015 12:00:00 AM,,,510.556
22/03/2015 12:00:00 AM,,,510.580
23/03/2015 12:00:00 AM,,,510.576
24/03/2015 12:00:00 AM,,,510.554
25/03/2015 12:00:00 AM,,,510.515
26/03/2015 12:00:00 AM,,,510.473
27/03/2015 12:00:00 AM,,,510.428
28/03/2015 12:00:00 AM,,,510.385
29/03/2015 12:00:00 AM,,,510.347
30/03/2015 12:00:00 AM,,,510.313
31/03/2015 12:00:00 AM,,,510.279
01/04/2015 12:00:00 AM,,,510.249
02/04/2015 12:00:00 AM,,,510.219
03/04/2015 12:00:00 AM,,,510.175
04/04/2015 12:00:00 AM,,,510.128
05/04/2015 12:00:00 AM,,,510.074
06/04/2015 12:00:00 AM,,,510.015
07/04/2015 12:00:00 AM,,,509.956
08/04/2015 12:00:00 AM,,,509.896
09/04/2015 12:00:00 AM,,,509.833
10/04/2015 12:00:00 AM,,,509.766
11/04/2015 12:00:00 AM,,,509.700
12/04/2015 12:00:00 AM,,,509.638
13/04/2015 12:00:00 AM,,,509.572
14/04/2015 12:00:00 AM,,,509.488
15/04/2015 12:00:00 AM,,,509.503
16/04/2015 12:00:00 AM,,,509.419
