RIDGE CREEK NEAR BRIDGEFORD,,Average Daily ,,Discharge
Data Start Time,01/01/2004 12:00:00 AM
Data End Time,11/06/2015 3:30:00 PM
Time Stamp,,,m^3/s
01/01/2004 12:00:00 AM,,,
02/01/2004 12:00:00 AM,,,
03/01/2004 12:00:00 AM,,,
04/01/2004 12:00:00 AM,,,
05/01/2004 12:00:00 AM,,,
06/01/2004 12:00:00 AM,,,
07/01/2004 12:00:00 AM,,,
08/01/2004 12:00:00 AM,,,
09/01/2004 12:00:00 AM,,,
10/01/2004 12:00:00 AM,,,
11/01/2004 12:00:00 AM,,,
12/01/2004 12:00:00 AM,,,
13/01/2004 12:00:00 AM,,,
14/01/2004 12:00:00 AM,,,
15/01/2004 12:00:00 AM,,,
16/01/2004 12:00:00 AM,,,
17/01/2004 12:00:00 AM,,,
18/01/2004 12:00:00 AM,,,
19/01/2004 12:00:00 AM,,,
20/01/2004 12:00:00 AM,,,
21/01/2004 12:00:00 AM,,,
22/01/2004 12:00:00 AM,,,
23/01/2004 12:00:00 AM,,,
24/01/2004 12:00:00 AM,,,
25/01/2004 12:00:00 AM,,,
26/01/2004 12:00:00 AM,,,
27/01/2004 12:00:00 AM,,,
28/01/2004 12:00:00 AM,,,
29/01/2004 12:00:00 AM,,,
30/01/2004 12:00:00 AM,,,
31/01/2004 12:00:00 AM,,,
01/02/2004 12:00:00 AM,,,
02/02/2004 12:00:00 AM,,,
03/02/2004 12:00:00 AM,,,
04/02/2004 12:00:00 AM,,,
05/02/2004 12:00:00 AM,,,
06/02/2004 12:00:00 AM,,,
07/02/2004 12:00:00 AM,,,
08/02/2004 12:00:00 AM,,,
09/02/2004 12:00:00 AM,,,
10/02/2004 12:00:00 AM,,,
11/02/2004 12:00:00 AM,,,
12/02/2004 12:00:00 AM,,,
13/02/2004 12:00:00 AM,,,
14/02/2004 12:00:00 AM,,,
15/02/2004 12:00:00 AM,,,
16/02/2004 12:00:00 AM,,,
17/02/2004 12:00:00 AM,,,
18/02/2004 12:00:00 AM,,,
19/02/2004 12:00:00 AM,,,
20/02/2004 12:00:00 AM,,,
21/02/2004 12:00:00 AM,,,
22/02/2004 12:00:00 AM,,,
23/02/2004 12:00:00 AM,,,
24/02/2004 12:00:00 AM,,,
25/02/2004 12:00:00 AM,,,
26/02/2004 12:00:00 AM,,,
27/02/2004 12:00:00 AM,,,
28/02/2004 12:00:00 AM,,,
29/02/2004 12:00:00 AM,,,
01/03/2004 12:00:00 AM,,,
