ISKWAO CREEK NEAR CRAIK,,Average Daily ,,Stage
Data Start Time,26/03/1993 12:00:00 AM
Data End Time,26/10/2012 11:50:00 AM
Time Stamp,,,m
26/03/1993 12:00:00 AM,,,1.181
27/03/1993 12:00:00 AM,,,1.232
28/03/1993 12:00:00 AM,,,1.232
29/03/1993 12:00:00 AM,,,1.221
30/03/1993 12:00:00 AM,,,1.189
31/03/1993 12:00:00 AM,,,1.157
01/04/1993 12:00:00 AM,,,1.128
02/04/1993 12:00:00 AM,,,1.104
03/04/1993 12:00:00 AM,,,1.084
04/04/1993 12:00:00 AM,,,1.061
05/04/1993 12:00:00 AM,,,1.022
06/04/1993 12:00:00 AM,,,0.997
07/04/1993 12:00:00 AM,,,0.997
08/04/1993 12:00:00 AM,,,0.993
09/04/1993 12:00:00 AM,,,0.984
10/04/1993 12:00:00 AM,,,0.977
11/04/1993 12:00:00 AM,,,0.973
12/04/1993 12:00:00 AM,,,0.969
13/04/1993 12:00:00 AM,,,0.964
14/04/1993 12:00:00 AM,,,0.956
15/04/1993 12:00:00 AM,,,0.949
16/04/1993 12:00:00 AM,,,0.942
17/04/1993 12:00:00 AM,,,0.933
18/04/1993 12:00:00 AM,,,0.926
19/04/1993 12:00:00 AM,,,0.919
20/04/1993 12:00:00 AM,,,0.911
21/04/1993 12:00:00 AM,,,0.901
22/04/1993 12:00:00 AM,,,0.891
23/04/1993 12:00:00 AM,,,0.884
24/04/1993 12:00:00 AM,,,0.874
25/04/1993 12:00:00 AM,,,0.859
26/04/1993 12:00:00 AM,,,0.845
27/04/1993 12:00:00 AM,,,0.834
28/04/1993 12:00:00 AM,,,0.825
29/04/1993 12:00:00 AM,,,0.813
30/04/1993 12:00:00 AM,,,0.801
01/05/1993 12:00:00 AM,,,0.788
02/05/1993 12:00:00 AM,,,0.775
03/05/1993 12:00:00 AM,,,0.762
04/05/1993 12:00:00 AM,,,0.750
05/05/1993 12:00:00 AM,,,0.737
06/05/1993 12:00:00 AM,,,0.724
07/05/1993 12:00:00 AM,,,0.733
08/05/1993 12:00:00 AM,,,0.744
09/05/1993 12:00:00 AM,,,0.736
10/05/1993 12:00:00 AM,,,0.723
11/05/1993 12:00:00 AM,,,0.708
12/05/1993 12:00:00 AM,,,0.694
13/05/1993 12:00:00 AM,,,0.679
14/05/1993 12:00:00 AM,,,0.661
15/05/1993 12:00:00 AM,,,0.646
16/05/1993 12:00:00 AM,,,0.632
17/05/1993 12:00:00 AM,,,0.622
18/05/1993 12:00:00 AM,,,0.611
19/05/1993 12:00:00 AM,,,0.600
20/05/1993 12:00:00 AM,,,0.587
21/05/1993 12:00:00 AM,,,0.574
22/05/1993 12:00:00 AM,,,0.565
23/05/1993 12:00:00 AM,,,0.556
24/05/1993 12:00:00 AM,,,0.546
25/05/1993 12:00:00 AM,,,0.533
26/05/1993 12:00:00 AM,,,0.520
27/05/1993 12:00:00 AM,,,0.514
28/05/1993 12:00:00 AM,,,0.505
29/05/1993 12:00:00 AM,,,0.494
30/05/1993 12:00:00 AM,,,0.484
31/05/1993 12:00:00 AM,,,0.472
01/06/1993 12:00:00 AM,,,0.458
02/06/1993 12:00:00 AM,,,0.446
03/06/1993 12:00:00 AM,,,0.436
04/06/1993 12:00:00 AM,,,0.429
05/06/1993 12:00:00 AM,,,0.422
06/06/1993 12:00:00 AM,,,0.413
07/06/1993 12:00:00 AM,,,0.401
08/06/1993 12:00:00 AM,,,0.390
09/06/1993 12:00:00 AM,,,0.375
10/06/1993 12:00:00 AM,,,0.357
11/06/1993 12:00:00 AM,,,0.329
12/06/1993 12:00:00 AM,,,0.323
13/06/1993 12:00:00 AM,,,0.322
14/06/1993 12:00:00 AM,,,0.320
15/06/1993 12:00:00 AM,,,0.317
16/06/1993 12:00:00 AM,,,0.314
17/06/1993 12:00:00 AM,,,0.311
