,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006
dd/mm/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
01/06/2014 00:00:00,0.0877716753485418,,,1
02/06/2014 00:00:00,0.092162389476305,,,1
03/06/2014 00:00:00,0.115541660127433,,,1
04/06/2014 00:00:00,0.106576907837133,,,1
05/06/2014 00:00:00,0.130996709882458,,,1
06/06/2014 00:00:00,0.143811078638279,,,1
07/06/2014 00:00:00,0.12794509679926,,,1
08/06/2014 00:00:00,0.101718066661908,,,1
09/06/2014 00:00:00,0.0904798742792626,,,1
10/06/2014 00:00:00,0.0842041578221604,,,1
11/06/2014 00:00:00,0.071180884336365,,,1
12/06/2014 00:00:00,0.0677670317157897,,,1
13/06/2014 00:00:00,0.0537844599652108,,,1
14/06/2014 00:00:00,0.0607080663292118,,,1
15/06/2014 00:00:00,0.0528977538409613,,,1
16/06/2014 00:00:00,0.0698229668382971,,,1
17/06/2014 00:00:00,0.0556084028013031,,,1
18/06/2014 00:00:00,0.0519387703789979,,,1
19/06/2014 00:00:00,0.0934221761985543,,,1
20/06/2014 00:00:00,0.342849333012601,,,1
21/06/2014 00:00:00,1.3645070654739,,,1
22/06/2014 00:00:00,1.5062662301083,,,1
23/06/2014 00:00:00,1.41038782502913,,,1
24/06/2014 00:00:00,1.36818764534169,,,1
25/06/2014 00:00:00,1.37332401141081,,,1
26/06/2014 00:00:00,1.00206912406149,,,1
27/06/2014 00:00:00,0.83304693792426,,,1
28/06/2014 00:00:00,0.661557077789014,,,1
29/06/2014 00:00:00,0.486373646089375,,,1
30/06/2014 00:00:00,8.14356336193981,,,1
01/07/2014 00:00:00,19.9013645395305,,,1
02/07/2014 00:00:00,18.6769924249171,,,1
03/07/2014 00:00:00,8.9670002607137,,,1
04/07/2014 00:00:00,4.57242443458245,,,1
05/07/2014 00:00:00,2.80932567940189,,,1
06/07/2014 00:00:00,1.90896238478209,,,1
07/07/2014 00:00:00,1.44323954079895,,,1
08/07/2014 00:00:00,1.18875968005895,,,1
09/07/2014 00:00:00,0.853157114044891,,,1
10/07/2014 00:00:00,0.667415474077536,,,1
11/07/2014 00:00:00,0.502021042457285,,,1
12/07/2014 00:00:00,0.362904103302119,,,1
13/07/2014 00:00:00,0.295828073318851,,,1
14/07/2014 00:00:00,0.248299344331479,,,1
15/07/2014 00:00:00,0.198128270776931,,,1
16/07/2014 00:00:00,0.166260317790776,,,1
17/07/2014 00:00:00,0.139205846458157,,,1
18/07/2014 00:00:00,0.117317731575749,,,1
19/07/2014 00:00:00,0.097044077859711,,,1
20/07/2014 00:00:00,0.0883269194359866,,,1
21/07/2014 00:00:00,0.0831589574036372,,,1
22/07/2014 00:00:00,0.0782632903951114,,,1
23/07/2014 00:00:00,0.0630223893048483,,,1
