"","date","05JG004.cms","05JG006.cms","05JG013.cms","05JG014.cms","predicted_05JG014.cms","predicted_Ungauged.cms","predicted_05JG004.cms","combined_05JG014.cms","combined_05JG004.cms","percent_Dief.006","percent_Ridge.013","percent_Iskwao.014","percent_Ungauged"
"1",1972-10-01,0.575,0.045,0.007,0,0.1219699,-0.12691291942,0.04705698058,0,0.575,7.82608695652174,1.21739130434783,0,-22.0718120730435
"2",1972-10-02,0.272,0.054,0.007,0,0.1219699,-0.12691291942,0.05605698058,0,0.272,19.8529411764706,2.57352941176471,0,-46.6591615514706
"3",1972-10-03,0.085,0.042,0.008,0,0.1224656,-0.12414381312,0.04832178688,0,0.085,49.4117647058824,9.41176470588235,0,-146.051544847059
"4",1972-10-04,0.048,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.048,87.5,10.4166666666667,0,-275.940603125
"5",1972-10-05,0.014,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.014,300,35.7142857142857,0,-946.082067857143
"6",1972-10-06,0.01,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.01,420,50,0,-1324.514895
"7",1972-10-07,0.009,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.009,466.666666666667,55.5555555555556,0,-1471.68321666667
"8",1972-10-08,0.007,0.04,0.005,0,0.1209785,-0.1324514895,0.0335270105,0,0.007,571.428571428571,71.4285714285714,0,-1892.16413571429
"9",1972-10-09,0.005,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.005,840,100,0,-2649.02979
"10",1972-10-10,0.005,0.04,0.005,0,0.1209785,-0.1324514895,0.0335270105,0,0.005,800,100,0,-2649.02979
"11",1972-10-11,0.003,0.04,0.005,0,0.1209785,-0.1324514895,0.0335270105,0,0.003,1333.33333333333,166.666666666667,0,-4415.04965
"12",1972-10-12,0.001,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.001,4200,500,0,-13245.14895
"13",1972-10-13,0.002,0.042,0.004,0,0.1204828,-0.13522095328,0.03126184672,0,0.002,2100,200,0,-6761.047664
"14",1972-10-14,0.002,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.002,2100,250,0,-6622.574475
"15",1972-10-15,0.002,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0.002,2100,250,0,-6622.574475
"16",1972-10-16,0.001,0.042,0.006,0,0.1214742,-0.12968214488,0.03979205512,0,0.001,4200,600,0,-12968.214488
"17",1972-10-17,0,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0,Inf,Inf,NA,-Inf
"18",1972-10-18,0,0.045,0.005,0,0.1209785,-0.1324514895,0.0385270105,0,0,Inf,Inf,NA,-Inf
"19",1972-10-19,0,0.048,0.005,0,0.1209785,-0.1324514895,0.0415270105,0,0,Inf,Inf,NA,-Inf
"20",1972-10-20,0,0.048,0.005,0,0.1209785,-0.1324514895,0.0415270105,0,0,Inf,Inf,NA,-Inf
"21",1972-10-21,0,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0,Inf,Inf,NA,-Inf
"22",1972-10-22,0,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0,Inf,Inf,NA,-Inf
"23",1972-10-23,0,0.054,0.005,0,0.1209785,-0.1324514895,0.0475270105,0,0,Inf,Inf,NA,-Inf
"24",1972-10-24,0,0.042,0.005,0,0.1209785,-0.1324514895,0.0355270105,0,0,Inf,Inf,NA,-Inf
"25",1972-10-25,0,0.048,0.005,0,0.1209785,-0.1324514895,0.0415270105,0,0,Inf,Inf,NA,-Inf
"26",1972-10-26,0.001,1.53,0.005,0,0.1209785,-0.1324514895,1.5235270105,0,0.001,153000,500,0,-13245.14895
"27",1972-10-27,0.001,3.14,0.005,0,0.1209785,-0.1324514895,3.1335270105,0,0.001,314000,500,0,-13245.14895
"28",1972-10-28,0,3.11,0.006,0,0.1214742,-0.12968214488,3.10779205512,0,0,Inf,Inf,NA,-Inf
"29",1972-10-29,2.05,3.17,0.007,0,0.1219699,-0.12691291942,3.17205698058,0,2.05,154.634146341463,0.341463414634146,0,-6.19087411804878
"30",1972-10-30,4.08,3.11,0.007,0,0.1219699,-0.12691291942,3.11205698058,0,4.08,76.2254901960784,0.17156862745098,0,-3.11061077009804
"31",1972-10-31,3.96,3.14,0.006,0,0.1214742,-0.12968214488,3.13779205512,0,3.96,79.2929292929293,0.151515151515152,0,-3.27480163838384
"32",1972-11-01,4.25,3.14,0.007,NA,0.1219699,-0.12691291942,3.14205698058,0.1219699,4.25,73.8823529411765,0.164705882352941,2.86988,-2.98618633929412
"33",1972-11-02,4.25,3.11,0,NA,0,-0.1463,2.9637,0,4.25,73.1764705882353,0,0,-3.44235294117647
"34",1972-11-03,3.79,3.82,0,NA,0,-0.1463,3.6737,0,3.79,100.791556728232,0,0,-3.86015831134565
"35",1972-11-04,3.94,4.25,0,NA,0,-0.1463,4.1037,0,3.94,107.868020304569,0,0,-3.71319796954315
"36",1972-11-05,4.59,4.25,0,NA,0,-0.1463,4.1037,0,4.59,92.5925925925926,0,0,-3.18736383442266
"37",1972-11-06,4.7,4.25,0,NA,0,-0.1463,4.1037,0,4.7,90.4255319148936,0,0,-3.11276595744681
"38",1972-11-07,4.53,4.25,0,NA,0,-0.1463,4.1037,0,4.53,93.8189845474614,0,0,-3.22958057395144
"39",1972-11-08,4.56,4.25,0,NA,0,-0.1463,4.1037,0,4.56,93.2017543859649,0,0,-3.20833333333333
"40",1972-11-09,4.56,4.25,0,NA,0,-0.1463,4.1037,0,4.56,93.2017543859649,0,0,-3.20833333333333
"41",1972-11-10,4.45,4.25,0,NA,0,-0.1463,4.1037,0,4.45,95.5056179775281,0,0,-3.2876404494382
"42",1972-11-11,4.39,4.25,0,NA,0,-0.1463,4.1037,0,4.39,96.8109339407745,0,0,-3.33257403189066
"43",1972-11-12,4.47,4.25,0,NA,0,-0.1463,4.1037,0,4.47,95.0782997762864,0,0,-3.27293064876958
"44",1972-11-13,3.79,4.25,0,NA,0,-0.1463,4.1037,0,3.79,112.137203166227,0,0,-3.86015831134565
"45",1972-11-14,3.17,4.25,0,NA,0,-0.1463,4.1037,0,3.17,134.069400630915,0,0,-4.61514195583596
"46",1972-11-15,3.96,4.25,0,NA,0,-0.1463,4.1037,0,3.96,107.323232323232,0,0,-3.69444444444444
"47",1972-11-16,5.47,4.25,0,NA,0,-0.1463,4.1037,0,5.47,77.6965265082267,0,0,-2.6745886654479
"48",1972-11-17,4.81,4.25,0,NA,0,-0.1463,4.1037,0,4.81,88.3575883575884,0,0,-3.04158004158004
"49",1972-11-18,4.19,4.25,0,NA,0,-0.1463,4.1037,0,4.19,101.431980906921,0,0,-3.49164677804296
"50",1972-11-19,4.84,4.25,0,NA,0,-0.1463,4.1037,0,4.84,87.8099173553719,0,0,-3.02272727272727
"51",1972-11-20,4.67,3.68,0,NA,0,-0.1463,3.5337,0,4.67,78.8008565310493,0,0,-3.13276231263383
"52",1972-11-21,4.39,2.83,0,NA,0,-0.1463,2.6837,0,4.39,64.4646924829157,0,0,-3.33257403189066
"53",1972-11-22,4.08,2.83,0,NA,0,-0.1463,2.6837,0,4.08,69.3627450980392,0,0,-3.58578431372549
"54",1972-11-23,3.03,2.83,0,NA,0,-0.1463,2.6837,0,3.03,93.3993399339934,0,0,-4.82838283828383
"55",1972-11-24,3.28,1.98,0,NA,0,-0.1463,1.8337,0,3.28,60.3658536585366,0,0,-4.46036585365854
"56",1972-11-25,2.94,1.42,0,NA,0,-0.1463,1.2737,0,2.94,48.2993197278912,0,0,-4.97619047619048
"57",1972-11-26,1.27,1.42,0,NA,0,-0.1463,1.2737,0,1.27,111.811023622047,0,0,-11.5196850393701
"58",1972-11-27,1.06,1.42,0,NA,0,-0.1463,1.2737,0,1.06,133.962264150943,0,0,-13.8018867924528
"59",1972-11-28,0.612,1.42,0,NA,0,-0.1463,1.2737,0,0.612,232.02614379085,0,0,-23.9052287581699
"60",1972-11-29,0.515,1.42,0,NA,0,-0.1463,1.2737,0,0.515,275.728155339806,0,0,-28.4077669902913
"61",1972-11-30,1.71,1.42,0,NA,0,-0.1463,1.2737,0,1.71,83.0409356725146,0,0,-8.55555555555556
"62",1972-12-01,1.79,1.42,0,NA,0,-0.0956,1.3244,0,1.79,79.3296089385475,0,0,-5.34078212290503
"63",1972-12-02,1.71,1.42,0,NA,0,-0.0956,1.3244,0,1.71,83.0409356725146,0,0,-5.5906432748538
"64",1972-12-03,2.12,1.42,0,NA,0,-0.0956,1.3244,0,2.12,66.9811320754717,0,0,-4.50943396226415
"65",1972-12-04,2.66,1.42,0,NA,0,-0.0956,1.3244,0,2.66,53.3834586466165,0,0,-3.59398496240601
"66",1972-12-05,3.82,1.42,0,NA,0,-0.0956,1.3244,0,3.82,37.17277486911,0,0,-2.50261780104712
"67",1972-12-06,4.96,1.42,0,NA,0,-0.0956,1.3244,0,4.96,28.6290322580645,0,0,-1.92741935483871
"68",1972-12-07,6.46,1.42,0,NA,0,-0.0956,1.3244,0,6.46,21.9814241486068,0,0,-1.47987616099071
"69",1972-12-08,6.06,1.42,0,NA,0,-0.0956,1.3244,0,6.06,23.4323432343234,0,0,-1.57755775577558
"70",1972-12-09,4.22,1.42,0,NA,0,-0.0956,1.3244,0,4.22,33.6492890995261,0,0,-2.2654028436019
"71",1972-12-10,3.11,1.42,0,NA,0,-0.0956,1.3244,0,3.11,45.6591639871383,0,0,-3.07395498392283
"72",1972-12-11,2.12,1.42,0,NA,0,-0.0956,1.3244,0,2.12,66.9811320754717,0,0,-4.50943396226415
"73",1972-12-12,2.02,1.42,0,NA,0,-0.0956,1.3244,0,2.02,70.2970297029703,0,0,-4.73267326732673
"74",1972-12-13,2.34,1.42,0,NA,0,-0.0956,1.3244,0,2.34,60.6837606837607,0,0,-4.08547008547009
"75",1972-12-14,0.861,1.42,0,NA,0,-0.0956,1.3244,0,0.861,164.924506387921,0,0,-11.1033681765389
"76",1972-12-15,0.507,1.42,0,NA,0,-0.0956,1.3244,0,0.507,280.078895463511,0,0,-18.8560157790927
"77",1972-12-16,1.63,1.42,0,NA,0,-0.0956,1.3244,0,1.63,87.1165644171779,0,0,-5.86503067484663
"78",1972-12-17,2.51,1.42,0,NA,0,-0.0956,1.3244,0,2.51,56.5737051792829,0,0,-3.80876494023904
"79",1972-12-18,2.51,1.42,0,NA,0,-0.0956,1.3244,0,2.51,56.5737051792829,0,0,-3.80876494023904
"80",1972-12-19,1.83,1.42,0,NA,0,-0.0956,1.3244,0,1.83,77.5956284153005,0,0,-5.224043715847
"81",1972-12-20,1.23,1.42,0,NA,0,-0.0956,1.3244,0,1.23,115.447154471545,0,0,-7.77235772357724
"82",1972-12-21,2.02,1.42,0,NA,0,-0.0956,1.3244,0,2.02,70.2970297029703,0,0,-4.73267326732673
"83",1972-12-22,1.97,1.42,0,NA,0,-0.0956,1.3244,0,1.97,72.0812182741117,0,0,-4.85279187817259
"84",1972-12-23,1.47,1.42,0,NA,0,-0.0956,1.3244,0,1.47,96.5986394557823,0,0,-6.50340136054422
"85",1972-12-24,1.06,1.42,0,NA,0,-0.0956,1.3244,0,1.06,133.962264150943,0,0,-9.0188679245283
"86",1972-12-25,1.04,1.42,0,NA,0,-0.0956,1.3244,0,1.04,136.538461538462,0,0,-9.19230769230769
"87",1972-12-26,1.08,1.42,0,NA,0,-0.0956,1.3244,0,1.08,131.481481481481,0,0,-8.85185185185185
"88",1972-12-27,1.08,1.42,0,NA,0,-0.0956,1.3244,0,1.08,131.481481481481,0,0,-8.85185185185185
"89",1972-12-28,1.08,1.42,0,NA,0,-0.0956,1.3244,0,1.08,131.481481481481,0,0,-8.85185185185185
"90",1972-12-29,1.08,1.42,0,NA,0,-0.0956,1.3244,0,1.08,131.481481481481,0,0,-8.85185185185185
"91",1972-12-30,1.08,1.42,0,NA,0,-0.0956,1.3244,0,1.08,131.481481481481,0,0,-8.85185185185185
"92",1972-12-31,1.08,1.42,0,NA,0,-0.0956,1.3244,0,1.08,131.481481481481,0,0,-8.85185185185185
