"","Year","month","day","date","40 cms threshold_uniform demand_lower bound.cms","40 cms threshold_uniform demand_upper bound.cms","40 cms threshold_allocation demand_lower bound.cms","40 cms threshold_allocation demand_upper bound.cms","40 cms threshold_WRMM demand_lower bound.cms","40 cms threshold_WRMM demand_upper bound.cms","50 cms threshold_uniform demand_lower bound.cms","50 cms threshold_uniform demand_upper bound.cms","50 cms threshold_allocation demand_lower bound.cms","50 cms threshold_allocation demand_upper bound.cms","50 cms threshold_WRMM demand_lower bound.cms","50 cms threshold_WRMM demand_upper bound.cms","60 cms threshold_uniform demand_lower bound.cms","60 cms threshold_uniform demand_upper bound.cms","60 cms threshold_allocation demand_lower bound.cms","60 cms threshold_allocation demand_upper bound.cms","60 cms threshold_WRMM demand_lower bound.cms","60 cms threshold_WRMM demand_upper bound.cms"
"1",2001,1,1,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2001,1,2,2001-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2001,1,3,2001-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2001,1,4,2001-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2001,1,5,2001-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2001,1,6,2001-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2001,1,7,2001-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2001,1,8,2001-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2001,1,9,2001-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2001,1,10,2001-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2001,1,11,2001-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2001,1,12,2001-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2001,1,13,2001-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2001,1,14,2001-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2001,1,15,2001-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2001,1,16,2001-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2001,1,17,2001-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2001,1,18,2001-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2001,1,19,2001-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2001,1,20,2001-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2001,1,21,2001-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2001,1,22,2001-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2001,1,23,2001-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2001,1,24,2001-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2001,1,25,2001-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2001,1,26,2001-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2001,1,27,2001-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2001,1,28,2001-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2001,1,29,2001-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2001,1,30,2001-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2001,1,31,2001-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2001,2,1,2001-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2001,2,2,2001-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2001,2,3,2001-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2001,2,4,2001-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2001,2,5,2001-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2001,2,6,2001-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2001,2,7,2001-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2001,2,8,2001-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2001,2,9,2001-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2001,2,10,2001-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2001,2,11,2001-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2001,2,12,2001-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2001,2,13,2001-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2001,2,14,2001-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2001,2,15,2001-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2001,2,16,2001-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2001,2,17,2001-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2001,2,18,2001-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2001,2,19,2001-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2001,2,20,2001-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2001,2,21,2001-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2001,2,22,2001-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",2001,2,23,2001-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2001,2,24,2001-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",2001,2,25,2001-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",2001,2,26,2001-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",2001,2,27,2001-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",2001,2,28,2001-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",2001,3,1,2001-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",2001,3,2,2001-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",2001,3,3,2001-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2001,3,4,2001-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2001,3,5,2001-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2001,3,6,2001-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2001,3,7,2001-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
