Site,Latitude,Longitude,BCw,CLS,CL(S+N),CLnutN,Harvest CLS,Harvest,,Harvest CLnut(N)
,,,,,,,,CL(S+N),,
A01-01,59.97,-107.35,1.47,14.24,21.01,8.73,NA,NA,,5.47
A01-02,59.94,-106.88,3.68,17.16,24.82,9.62,NA,NA,,9.62
A03-01,59.88,-106.08,7.32,19.54,27.19,9.48,NA,NA,,9.52
A03-02,59.75,-105.43,5.2,18.25,25.9,9.8,NA,NA,,9.75
A03-03,59.52,-103.88,1.13,13.8,21.45,9.88,NA,NA,,9.74
A03-04,59.85,-105.1,9.42,22.36,29.14,9.03,NA,NA,,5.89
A05-01,59.3,-103.11,4.81,17.17,24.82,10.03,NA,NA,,10.16
A05-02,58.7,-103.65,1.73,14.57,22.22,10.08,NA,NA,,10.07
A05-03,59.18,-103.69,15.77,29.53,37.18,10.26,NA,NA,,10.31
B02-01,59.84,-108.87,5.93,20.2,26.98,8.56,NA,NA,,5.24
B02-03,59.31,-106.66,8.84,22.52,30.18,9.52,NA,NA,,9.44
B02-04,59.72,-106.47,2.61,14.6,22.26,9.49,NA,NA,,9.65
B02-05,59.26,-105,3.07,14.62,22.28,9.63,NA,NA,,9.69
B02-06,59.46,-106.75,13.19,26.5,34.16,9.53,NA,NA,,9.5
C01-01,58.7,-109.91,0.01,15.53,24.79,10.77,NA,NA,,6.4
C01-02,59.12,-108.93,0.24,13.42,28.9,16.96,NA,NA,,16.84
C01-03,59.13,-108.56,0.01,12.32,21.58,10.77,NA,NA,,6.43
C01-04,59.01,-108.98,0.08,13.23,28.71,16.96,NA,NA,,16.9
C01-05,58.85,-109.36,0.01,13.14,22.39,10.75,NA,NA,,6.37
C01-06,59.34,-107.68,0.02,12.24,21.5,10.78,NA,NA,,6.44
C02-01,58.59,-109.35,0.07,15.59,31.07,16.92,NA,NA,,16.9
C02-02,58.31,-108.81,0.03,15.43,24.68,10.95,NA,NA,,6.54
C02-03,58.67,-109.44,0.01,15.54,24.79,10.73,NA,NA,,6.49
C02-04,58.56,-108.68,0.02,13.66,22.92,10.97,NA,NA,,6.66
C02-05,58.56,-109.67,4.72,20.39,29.65,10.97,NA,NA,,6.62
C02-06,58.41,-109.77,0.11,15.86,28.1,14.77,NA,NA,,9.6
C02-07,58.37,-108.84,0,15.39,30.88,17.19,NA,NA,,17.13
C02-08,58.29,-109.29,0.02,15.75,25.01,10.8,NA,NA,,6.51
C03-01,57.84,-109.02,0.02,15.39,30.88,17.44,NA,NA,,17.37
C03-02,57.96,-109.41,0.06,16,25.25,10.99,NA,NA,,6.68
C03-03,57.98,-108.98,0,15.22,24.48,11.01,NA,NA,,6.74
C03-04,57.92,-108.86,0.03,15.26,24.51,11.05,NA,NA,,6.68
C03-05,58.14,-108.36,0.02,14.91,24.17,11.1,NA,NA,,6.71
C03-06,57.67,-109.4,1.15,17.59,26.84,11.22,NA,NA,,6.95
C04-01,58.09,-107.76,0.02,14.17,29.65,17.03,NA,NA,,17.12
C04-02,57.87,-107.61,0,13.76,23.02,10.87,NA,NA,,6.62
C04-03,57.52,-107.8,0.02,13.06,22.32,10.82,NA,NA,,6.55
C04-04,58.01,-107.84,0.33,14.55,23.8,11.18,NA,NA,,6.98
C04-05,57.62,-108.06,0.03,14,23.25,10.96,NA,NA,,6.65
C04-06,57.52,-107.87,0.04,14.01,29.5,17.28,NA,NA,,17.27
C05-01,58.47,-107.81,0.03,13.94,23.2,11.17,NA,NA,,6.83
C05-02,58.37,-107.52,0.02,13.94,23.2,10.95,NA,NA,,6.71
C05-03,58.42,-107.45,0.03,13.64,29.12,17.25,NA,NA,,17.29
C05-04,58.26,-107.43,0.04,13.23,22.49,11.09,NA,NA,,6.82
C06-01,58.84,-107.7,0.37,14.32,23.58,11.15,NA,NA,,6.7
C06-02,58.75,-108.69,0.01,13.66,22.92,11.02,NA,NA,,6.65
C06-03,58.8,-108.38,0.02,13.66,22.92,11.01,NA,NA,,6.71
C06-04,58.84,-107.99,5.71,20.9,30.16,11.17,NA,NA,,6.93
C06-05,59.03,-106.12,0.28,12.69,21.95,11.06,NA,NA,,6.7
C06-06,59,-108.66,0.03,12.34,21.6,10.83,NA,NA,,6.52
C06-07,58.94,-108.18,0.05,13.2,22.45,10.87,NA,NA,,6.55
C07-01,59.06,-105.65,0.23,12.48,21.74,11.05,NA,NA,,6.7
C07-02,58.96,-106.78,0.21,13.32,28.8,17.37,NA,NA,,17.43
C07-03,59.19,-107.09,0.17,12.63,21.89,11.13,NA,NA,,6.72
C07-04,59.25,-106.8,0.11,11.76,27.24,17.03,NA,NA,,17.15
C07-05,59.13,-106.32,1.44,13.3,28.78,17.28,NA,NA,,17.41
C08-01,58.94,-105.88,0.37,12.77,22.03,11,NA,NA,,6.74
C08-02,59.11,-104.48,0.62,13.27,28.76,17.69,NA,NA,,17.71
C08-03,58.49,-106.08,0.05,12.67,21.92,11.1,NA,NA,,6.75
C08-04,58.79,-105.74,0.08,12.31,21.56,11.07,NA,NA,,6.72
C09-01,58.73,-104.58,0.29,12.83,22.09,11.49,NA,NA,,7.24
