Site,region,CLnutN
A01-01,SLU,86.88692369
A01-02,SLU,97.99300078
A03-01,SLU,94.40215135
A03-02,SLU,97.49496923
A03-03,SLU,99.72523808
A03-04,SLU,90.83500924
A05-01,SLU,100.6197687
A05-02,SLU,101.1069746
A05-03,SLU,102.9349881
B02-01,TLU,84.73198808
B02-02,TLU,92.45083442
B02-03,TLU,95.01025954
B02-04,TLU,95.79741361
B02-05,TLU,98.00750378
B02-06,TLU,96.47640912
C01-01,AP,107.2854474
C01-02,AP,171.2717093
C01-03,AP,106.2058062
C01-04,AP,169.6538638
C01-05,AP,107.7780651
C01-06,AP,107.6925886
C02-01,AP,168.6012389
C02-02,AP,108.6910791
C02-03,AP,106.9134124
C02-04,AP,109.4927394
C02-05,AP,109.5226459
C02-06,AP,147.4628113
C02-07,AP,172.203457
C02-08,AP,107.3765128
C03-01,AP,174.1247847
C03-02,AP,108.718004
C03-03,AP,109.8904193
C03-04,AP,111.064995
C03-05,AP,109.9223805
C03-06,AP,112.1857479
C04-01,AP,171.716654
C04-02,AP,108.7392166
C04-03,AP,108.4001006
C04-04,AP,112.3997292
C04-05,AP,109.7002327
C04-06,AP,173.0867458
C05-01,AP,110.5075271
C05-02,AP,109.5491163
C05-03,AP,173.5212333
C05-04,AP,111.0169986
C06-01,AP,109.7639017
C06-02,AP,109.1243539
C06-03,AP,110.8046039
C06-04,AP,111.6237023
C06-05,AP,110.3165567
C06-06,AP,107.8808223
C06-07,AP,108.0021876
C07-01,AP,111.1534648
C07-02,AP,173.603573
C07-03,AP,108.9189512
C07-04,AP,169.7989289
C07-05,AP,174.1383753
C08-01,AP,109.572449
C08-02,AP,177.0782928
C08-03,AP,109.6134847
C08-04,AP,110.2858209
C09-01,AP,114.6845901
C09-02,AP,114.1146632
C09-03,AP,177.4696933
C09-04,AP,113.3380444
C09-05,AP,175.8786114
C10-01,AP,172.0769021
C10-02,AP,110.6534616
C10-03,AP,172.8477476
C11-01,AP,107.942484
C11-02,AP,109.1581965
C11-03,AP,108.9523988
C11-04,AP,109.4154367
C11-05,AP,171.65049
C12-01,AP,116.2673592
C12-02,AP,117.8536485
C12-03,AP,181.5251312
C12-04,AP,120.683029
C12-05,AP,178.1496474
C12-06,AP,109.6967355
C12-07,AP,116.3753716
C12-08,AP,113.5477709
D01-01,CRU,136.3504848
D01-02,CRU,134.6567854
D01-03,CRU,137.3198811
D01-04,CRU,136.3051543
D01-05,CRU,137.0336266
D01-06,CRU,135.6533061
D01-07,CRU,138.2266723
D02-01,CRU,170.263188
D02-02,CRU,170.7148372
D02-03,CRU,172.5785707
D03-01,CRU,135.3215955
D03-02,CRU,136.2520894
D03-03,CRU,168.1291257
D03-04,CRU,137.7858786
D04-01,CRU,137.1877474
D04-02,CRU,134.6140372
D04-03,CRU,144.491845
D04-04,CRU,138.7362303
D04-05,CRU,207.874491
D04-06,CRU,206.3740954
D04-07,CRU,181.4200079
D04-08,CRU,181.7475572
D04-09,CRU,176.8916191
D04-11,CRU,142.1688554
D04-12,CRU,182.7053588
D04-13,CRU,142.7126618
D04-14,CRU,182.915712
D05-01,CRU,137.056409
D05-02,CRU,136.826788
D05-03,CRU,201.4745098
D05-04,CRU,204.6633995
D05-05,CRU,144.2928237
D06-01,CRU,146.3052662
D06-02,CRU,190.0588668
D06-03,CRU,145.4967497
D06-04,CRU,212.1575696
D06-05,CRU,148.1754989
D08-01,CRU,147.8436408
D08-02,CRU,147.6608177
D08-03,CRU,146.8215648
D08-04,CRU,210.1328781
D08-05,CRU,207.5788474
D09-01,CRU,184.3001462
D09-02,CRU,209.3528992
D09-03,CRU,143.8233993
D09-04,CRU,139.1776549
D09-05,CRU,185.5690399
D09-06,CRU,205.9407401
D09-07,CRU,187.5799413
D09-08,CRU,184.050281
D09-09,CRU,201.3812554
D10-01,CRU,175.1306279
D10-02,CRU,139.9804137
D10-03,CRU,140.1846986
E01-01,MBU,285.8257873
E01-02,MBU,194.6882839
E01-03,MBU,196.734545
E02-01,MBU,284.3248965
E02-02,MBU,173.1227089
E02-03,MBU,194.6791261
E03-01,MBU,193.9115661
E03-02,MBU,193.0923002
E04-01,MBU,279.2873768
E04-02,MBU,193.1928885
E05-01,MBU,192.3612668
E05-02,MBU,280.146338
E05-03,MBU,278.1846056
E06-01,MBU,280.235574
E06-02,MBU,191.5639288
E06-03,MBU,190.277257
E07-01,MBU,169.8333461
E07-02,MBU,191.0287722
E07-03,MBU,278.5658842
E09-01,MBU,193.4726018
E09-02,MBU,194.279391
E09-03,MBU,282.0699226
E10-01,MBU,276.9259337
E10-02,MBU,168.9255197
E11-01,MBU,193.0863605
E11-02,MBU,276.2015468
E12-01,MBU,193.1131686
E12-02,MBU,190.041821
E12-03,MBU,193.1983202
E13-01,MBU,169.7464204
E13-02,MBU,173.905374
E14-01,MBU,190.3865539
E14-02,MBU,190.7510429
E15-01,MBU,172.6650431
E15-02,MBU,282.2677011
E15-03,MBU,279.1241178
E16-01,MBU,278.6916147
E16-02,MBU,277.1252117
E16-03,MBU,278.7772069
E17-01,MBU,278.1395778
E17-02,MBU,191.6754268
E18-01,MBU,174.6112019
