"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq","s.exceed.H","sn.exceed.H."
"135","E01-01","MBU",20.61444432,10.4120613,"trembling aspen",15.2695408,33.04471006,16.99512975,4.323796055,130.7482605,13.07482605,130.7482605,39.03248215,16.97807426,3.9203037,24.53474802,57.1628723145,5.71628723145,-8.751029995,1.661031305
"136","E01-03","MBU",13.86995697,6.623890084,"jack pine",15.70659932,33.58387608,17.53429576,4.760854579,111.4235077,11.14235077,111.4235077,42.73540878,15.41589165,6.39194499,20.26190196,42.735408783,4.2735408783,-6.381496191,0.242393893
"137","E02-01","MBU",20.71760559,10.51337128,"trembling aspen",392.6058058,437.6175887,413.4282632,376.3581407,151.3875275,15.13875275,151.3875275,55.98140717,20.73689346,398.28951045,419.00711604,55.9814071655,5.59814071655,361.21938795,371.73275923
"138","E02-02","MBU",8.812436856,0.839420329,"white spruce",81.03615861,97.93813259,84.06374248,73.10634195,146.7073975,14.67073975,146.7073975,70.2703476,21.69777451,69.39300273,78.205439586,70.2703475952,7.02703475952,58.4356022,59.275022529
"139","E02-03","MBU",11.87532844,4.747495898,"jack pine",77.2569892,93.37406308,77.32448276,66.31124446,130.0935669,13.00935669,130.0935669,60.91455078,19.10081177,64.31512607,76.19045451,60.9145507813,6.09145507813,53.30188777,58.049383668
"140","E03-01","MBU",12.96368169,5.883165341,"jack pine",37.42837818,53.83405345,37.78447313,26.48263343,118.3939743,11.83939743,118.3939743,49.35452271,16.7748497,25.9450757,38.90875739,49.3545227051,4.93545227051,14.643236,20.526401341
"141","E03-02","MBU",11.86967359,4.775559878,"jack pine",27.90206391,44.50087895,28.45129863,16.95631917,125.0124435,12.50124435,125.0124435,60.76072311,18.57731667,15.95005428,27.81972787,60.760723114,6.0760723114,4.45507482,9.230634698
"142","E04-01","MBU",21.1460629,11.26088618,"trembling aspen",42.33125779,50.27291811,26.08359267,26.08359267,163.9026031,16.39026031,163.9026031,48.87866211,21.27812653,9.69333236,30.83939526,48.8786621094,4.88786621094,9.69333236,20.95421854
"143","E04-02","MBU",12.09973463,4.915965094,"jack pine",22.88526341,39.74569457,23.69611426,11.93951867,166.6750641,16.66750641,166.6750641,59.46178055,22.61368446,7.02860785,19.12834248,59.4617805481,5.94617805481,-4.72798774,0.187977353999998
"144","E05-01","MBU",11.42885321,4.258569016,"jack pine",204.8152597,220.7735686,204.7239883,193.8695149,140.9656982,14.09656982,140.9656982,66.17572784,20.71414261,190.62741848,202.05627169,66.1757278442,6.61757278442,179.77294508,184.031514096
"145","E05-02","MBU",19.23475139,9.291325829,"trembling aspen",62.86815616,70.80981649,46.62049104,46.62049104,127.1691818,12.71691818,127.1691818,69.49704742,19.66662292,33.90357286,53.13832425,69.4970474243,6.94970474243,33.90357286,43.194898689
"146","E05-03","MBU",19.04530471,8.845851989,"trembling aspen",157.0104567,202.3336225,178.1442971,140.7627916,133.4259796,13.34259796,133.4259796,72.62211609,20.60480957,164.80169914,183.84700385,72.6221160889,7.26221160889,127.42019364,136.266045629
"147","E06-01","MBU",20.46747009,10.50459582,"trembling aspen",43.43506405,51.37672438,27.18739893,27.18739893,122.6026993,12.26026993,122.6026993,56.74147034,17.93441696,14.927129,35.39459909,56.7414703369,5.67414703369,14.927129,25.43172482
"148","E06-02","MBU",10.87251435,3.688932854,"jack pine",34.0443936,50.59394757,34.54436725,23.09864886,144.0491486,14.40491486,144.0491486,72.67503357,21.67241821,20.13945239,31.01196674,72.6750335693,7.26750335693,8.693734,12.382666854
"149","E06-03","MBU",11.68701336,4.368150128,"jack pine",24.08013571,40.74470105,24.69512073,13.13439096,119.0703735,11.90703735,119.0703735,64.65995789,18.37303314,12.78808338,24.47509674,64.6599578857,6.46599578857,1.22735361,5.595503738
"150","E07-01","MBU",7.948614568,-0.006726404,"white spruce",262.6141292,279.3539428,265.4795527,254.6843126,130.486969,13.0486969,130.486969,78.48556519,20.89725342,252.4308558,260.379470368,78.4855651855,7.84855651855,241.6356157,241.628889296
"151","E07-02","MBU",9.760669653,2.518855251,"jack pine",51.34563845,67.53218186,51.48260154,40.39989371,144.3614044,14.43614044,144.3614044,82.97634888,22.73377533,37.0464611,46.807130753,82.976348877,8.2976348877,25.96375327,28.482608521
"152","E07-03","MBU",18.99284034,8.799480136,"trembling aspen",58.23606671,66.17772704,41.98840159,41.98840159,157.4769287,15.74769287,157.4769287,73.20433807,23.06812668,26.24070872,45.23354906,73.2043380737,7.32043380737,26.24070872,35.040188856
"153","E09-01","MBU",11.02213029,3.999579461,"jack pine",22.78741643,39.56662339,23.51704307,11.84167169,153.635025,15.3635025,153.635025,68.44928741,22.20843124,8.15354057,19.17567086,68.4492874146,6.84492874146,-3.52183081,0.477748651000001
