"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X1",4.19621088971724,5.45651940534015,6.84079547570112,1.75053008069724,3.01083859632015,4.39511466668112
"X2",7.45393833234279,9.74618226049186,11.9153891823653,5.01883300855279,7.31107693670186,9.48028385857529
"X3",7.40035192460329,9.60201380987889,11.6576829214299,5.15890314073329,7.36056502600889,9.41623413755987
"X4",7.52488329968884,9.79011970218372,12.0571472851558,5.40404685101884,7.66928325351372,9.93631083648581
"X5",7.59804486215742,9.87122154309163,12.1456997895133,5.16375302255742,7.43692970349163,9.71140794991334
"X6",4.47381294166848,5.879376993437,7.41380190105386,2.38912761604848,3.794691667817,5.32911657543386
"X7",7.72959174357672,10.0994583368519,12.5071722254744,5.61545848094672,7.98532507422195,10.3930389628444
"X8",7.74528084649746,10.0449200290983,12.4241757553073,5.47014370812746,7.7697828907283,10.1490386169373
"X9",7.95298482060919,10.3890872413869,12.7416031334237,5.60434056401919,8.0404429847969,10.3929588768337
"X10",4.00609188659307,5.28225771734268,6.56280661286929,1.91301136596307,3.18917719671268,4.46972609223929
"X11",7.12817831142433,9.27002846129177,11.1753128640698,4.00388956173433,6.14573971160177,8.0510241143798
"X12",7.2437640130357,9.39358393941763,11.7097697902813,4.1619370400757,6.31175696645763,8.62794281732128
"X13",7.26385970354198,9.55391333314162,11.8683396940266,4.52460036516198,6.81465399476162,9.12908035564662
"X14",7.48267114781561,9.68198901156824,11.8820072165661,5.03234747075561,7.23166533450824,9.43168353950609
"X15",7.46128286646953,9.49581970065663,11.6507735270437,4.78639654444953,6.82093337863663,8.9758872050237
"X16",5.02944836958874,6.40456162021425,7.78163754498861,2.80601888044874,4.18113213107425,5.55820805584861
"X17",13.6646787752349,16.9123803102165,20.4625308941788,11.2674530138249,14.5151545488065,18.0653051327688
"X18",5.04455633289613,6.43554184791932,7.88510800085179,2.92582311756613,4.31680863258932,5.76637478552179
"X19",13.6883701459813,16.9777491755082,20.3262438869609,10.5862217084813,13.8756007380082,17.2240954494609
"X20",5.00422892010599,6.37582810972853,7.73117161041387,2.43932432568599,3.81092351530853,5.16626701599387
"X21",5.15849054110198,6.45899996134736,7.90666393052318,1.92120378268198,3.22171320292736,4.66937717210318
"X22",13.6774349633441,16.844498627701,20.2907243073012,11.2029262963541,14.369989960711,17.8162156403112
"X23",5.2536748182674,6.5744875953336,8.09264259465736,2.6417393934674,3.9625521705336,5.48070716985736
"X24",5.10861354622894,6.51069506294362,7.98245987331766,2.44138351235894,3.84346502907362,5.31522983944766
"X25",5.33117114067396,6.70236683939508,8.13227453745452,2.48363543510396,3.85483113382508,5.28473883188452
"X26",5.22030201661928,6.60707541675293,8.06936054224844,2.18676834809928,3.57354174823293,5.03582687372844
"X27",7.71887827418596,9.60868760493741,11.6827958549681,4.79366312525596,6.68347245600741,8.75758070603812
"X28",13.9318089063025,17.2220636163863,20.4842940057889,11.1815207059225,14.4717754160063,17.7340058054089
"X29",5.17468748455333,6.50275383464579,7.91890625257224,1.29175215130333,2.61981850139579,4.03597091932224
"X30",14.0268597003957,17.4131338588118,20.7697057854557,11.1495243427257,14.5357985011418,17.8923704277857
"X31",5.32190050079654,6.70915894341765,8.15933507665905,1.21158174469655,2.59884018731765,4.04901632055905
"X32",5.37268139035395,6.76570905062965,8.22599697320192,2.53295131833395,3.92597897860965,5.38626690118192
"X33",5.23308951633337,6.67097367510889,8.20568288146177,1.65750357883337,3.09538773760889,4.63009694396177
"X34",5.43836354884443,6.74695033646551,8.24730417120066,1.88268422755443,3.19127101517551,4.69162484991066
"X35",5.45923325375186,7.00520806305027,8.58120536533336,0.798473518641861,2.34444832794027,3.92044563022336
"X36",13.9179826733436,17.1333697436853,20.5442517356243,10.7721305844136,13.9875176547554,17.3983996466943
"X37",5.30329506948059,6.62796774167829,8.09945872133939,2.61552651479059,3.94019918698829,5.41169016664939
"X38",5.23251041519248,6.60846496331937,7.98583394793598,2.04870666611248,3.42466121423937,4.80203019885598
"X39",5.48887150471684,7.02056533692787,8.46344399695179,1.91799290364684,3.44968673585787,4.89256539588179
"X40",5.33755117528763,6.74518591844372,8.20882405840456,1.80073743932763,3.20837218248372,4.67201032244456
"X41",13.7736852159356,17.2884372985196,20.6681807903053,10.1107018937956,13.6254539763795,17.0051974681653
"X42",5.32793093224846,6.73003007161486,8.35875006284227,2.70388861199846,4.10598775136486,5.73470774259227
"X43",5.29966036490506,6.66196830757541,8.14373923034057,2.00571695975506,3.36802490242541,4.84979582519057
"X44",14.058196660879,17.3958328892161,20.9091840363402,11.109690877799,14.4473271061361,17.9606782532602
"X45",5.37163321688211,6.79180820619023,8.28373025707641,2.32337081148211,3.74354580079023,5.23546785167641
"X46",5.32221916663394,6.7832708219075,8.19069136569642,3.07383297431394,4.5348846295875,5.94230517337642
"X47",5.22164067751936,6.59747958349659,8.01704571679655,2.79470662600936,4.17054553198659,5.59011166528655
