"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X1",6.54331644466615,8.78641588737188,11.0069048191928,4.09763563564615,6.34073507835188,8.5612240101728
"X2",7.51493618803477,9.64529572954028,11.9215096829677,5.07983086424477,7.21019040575028,9.4864043591777
"X3",7.29717151730917,9.46844454277875,11.631863986775,5.05572273343917,7.22699575890875,9.39041520290496
"X4",7.54550992992409,9.73886218825937,12.0516481877782,5.42467348125409,7.61802573958937,9.93081173910817
"X5",7.54007079474449,9.79861278616855,12.2169702949075,5.10577895514449,7.36432094656855,9.78267845530751
"X6",6.87449760625015,9.08789771728243,11.5647852265857,4.78981228063015,7.00321239166243,9.48009990096567
"X7",7.8658301347607,10.1271537206368,12.52895280773,5.7516968721307,8.01302045800675,10.4148195451
"X8",7.8548703965589,10.0175909543785,12.4782814901046,5.5797332581889,7.74245381600855,10.2031443517346
"X9",7.88887344313833,10.2843197769649,12.8037816979063,5.54022918654833,7.93567552037495,10.4551374413163
"X10",6.34845690684919,8.44354254845512,10.7279949408741,4.25537638621919,6.35046202782512,8.63491442024413
"X11",7.0412663772416,9.19849635813809,11.3248209006733,3.9169776275516,6.07420760844809,8.20053215098333
"X12",7.26382101432518,9.57111377702829,11.7064243338875,4.18199404136518,6.48928680406829,8.62459736092752
"X13",7.2616839952574,9.48874073924608,11.7305890864485,4.5224246568774,6.74948140086608,8.99132974806848
"X14",7.42389997711256,9.58729454338926,11.9386652523999,4.97357630005256,7.13697086632926,9.48834157533986
"X15",7.30346395467264,9.49939422256573,11.7642615475943,4.62857763265264,6.82450790054573,9.08937522557431
"X16",8.34264366489352,10.6278774826573,12.9993039524559,6.11921417575352,8.40444799351725,10.7758744633159
"X17",13.6124422764422,16.9575155263647,20.2562927183955,11.2152165150322,14.5602897649547,17.8590669569855
"X18",8.52673329459707,10.6595610825657,13.0146842065755,6.40800007926707,8.54082786723575,10.8959509912455
"X19",13.6681637220911,16.8318421357801,20.2890730366082,10.5660152845911,13.72969369828,17.1869245991082
"X20",8.50072160749347,10.5648735703647,12.9760584711353,5.93581701307347,7.99996897594475,10.4111538767153
"X21",8.60982831191078,10.8170662240643,13.3220538415917,5.37254155349078,7.57977946564435,10.0847670831717
"X22",13.7131427687814,17.1173955107152,20.3422488438632,11.2386341017914,14.6428868437252,17.8677401768732
"X23",8.64332632767185,10.8825848633203,13.2281209418083,6.03139090287185,8.27064943852025,10.6161855170083
"X24",8.60338103394671,10.7685373390335,13.2528422158747,5.93615100007671,8.10130730516355,10.5856121820047
"X25",8.68680096807558,10.97063111184,13.6974837473883,5.83926526250557,8.12309540627,10.8499480418183
"X26",8.68171439313081,10.9205115773067,13.3937223779371,5.64818072461081,7.88697790878675,10.3601887094171
"X27",11.3428658332851,14.5530175907708,18.2801303490252,8.41765068435511,11.6278024418408,15.3549152000952
"X28",13.907628625582,17.1500186481357,20.2681285248515,11.157340425202,14.3997304477557,17.5178403244715
"X29",8.49079717640911,10.6903302330788,13.139824818737,4.60786184315911,6.80739489982885,9.256889485487
"X30",14.1020579064549,17.4531154937794,20.5090377294321,11.2247225487849,14.5757801361094,17.6317023717621
"X31",8.56219230003683,10.9139277247502,13.3767522290813,4.45187354393683,6.8036089686502,9.26643347298128
"X32",8.64701765089201,10.9219579682368,13.4265575779123,5.80728757887201,8.08222789621675,10.5868275058923
"X33",8.69830640515458,10.9539627126708,13.4864788485678,5.12272046765458,7.3783767751708,9.91089291106778
"X34",8.66541311297104,11.1053371630444,13.6892981564538,5.10973379168104,7.54965784175445,10.1336188351638
"X35",8.82624617000571,11.1586676112275,13.7511962044976,4.16548643489571,6.49790787611745,9.09043646938757
"X36",13.8429156333789,17.3314004994335,20.4778950853643,10.6970635444489,14.1855484105035,17.3320429964343
"X37",8.51071149918854,10.9044053132974,13.3514932308914,5.82294294449854,8.21663675860745,10.6637246762014
"X38",8.59864241770847,10.8500551740287,13.1213069934319,5.41483866862847,7.66625142494875,9.93750324435195
"X39",8.9243028308488,11.1505349809268,13.7532370044265,5.3534242297788,7.5796563798568,10.1823584033565
"X40",8.66839390746458,11.0182290924865,13.4751217115033,5.13158017150458,7.4814153565265,9.93830797554331
"X41",13.9229863880322,17.2921180155364,20.6031829757664,10.2600030658922,13.6291346933964,16.9401996536264
"X42",8.73539954439856,11.0863469940122,13.5256326883055,6.11135722414856,8.4623046737622,10.9015903680555
"X43",8.84251920037292,11.1864685893162,13.6535080378278,5.54857579522292,7.8925251841662,10.3595646326778
"X44",14.1265635339832,17.4105086130086,20.611831517054,11.1780577509032,14.4620028299286,17.663325733974
"X45",8.92409541257961,11.1009743683816,13.4992520821039,5.87583300717961,8.05271196298165,10.4509896767039
"X46",8.73822916236421,10.9675260792573,13.4031551210487,6.48984297004421,8.71913988693725,11.1547689287287
"X47",8.61753471439551,10.911078643493,13.3392260618681,6.19060066288551,8.484144591983,10.9122920103581
"X48",8.59443455407368,10.8678134850011,13.3812244961044,6.04147778222368,8.31485671315105,10.8282677242544
"X49",8.78382147118811,11.2581388375582,13.7524064577296,5.81977041527811,8.29408778164825,10.7883554018196
"X50",8.70920360505096,10.9477909716339,13.4602445682975,5.95154312074096,8.19013048732385,10.7025840839875
"X51",8.4164045984694,10.7758991191986,13.1850878544197,6.2818451578594,8.64133967858855,11.0505284138097
"X52",8.47843067712391,10.8120251292358,13.3036919217667,6.22306683129391,8.5566612834058,11.0483280759367
"X53",8.64877685089481,11.060786378489,13.5648963441264,6.46495040436481,8.876959931959,11.3810698975964
"X54",14.0830293448499,17.4535505521166,20.9398111494225,11.8637346060799,15.2342558133466,18.7205164106525
"X55",8.73714173065081,10.9982372522461,13.4678081780226,6.02212918030081,8.2832247018961,10.7527956276726
"X56",13.7983085245991,17.0516533561096,20.497814431879,11.0422635645791,14.2956083960896,17.741769471859
"X57",13.9196881798644,17.3427099105865,20.7340102717855,11.3643243340344,14.7873460647565,18.1786464259555
"X58",8.63740849365681,11.002081936668,13.485337743814,6.62592148651681,8.99059492952805,11.473850736674
"X59",14.4440124631837,17.6793792678261,21.3032933519092,11.8676605344737,15.1030273391161,18.7269414231992
"X60",8.64400377919026,11.0305593254774,13.627450956789,6.55252218892026,8.9390777352074,11.535969366519
"X61",8.62342561937509,10.9443802390978,13.5160655695736,6.84709562517509,9.1680502448978,11.7397355753736
"X62",9.1671048914772,11.5041788090377,14.1039788400707,6.1463128840272,8.48338680158765,11.0831868326207
"X63",9.04736225452918,11.4003041235835,13.9088519091453,6.30355160083918,8.65649346989355,11.1650412554553
"X64",14.370589493098,17.7101362468341,21.1085332888506,11.730841301268,15.0703880550041,18.4687850970206
"X65",8.90995191458133,11.3399496241499,13.7824327020024,6.75240415457133,9.18240186413995,11.6248849419924
"X66",14.172051261105,17.5541724651298,21.1575978886994,11.489197371635,14.8713185756598,18.4747439992294
"X67",13.9211209676301,17.3371489798937,20.6524032457624,10.7437802693901,14.1598082816537,17.4750625475224
"X68",8.72264736228318,10.901006349054,13.32219488045,5.89197013907318,8.070329125844,10.49151765724
"X69",13.952380010145,17.4138513431628,20.671140008517,11.717749043955,15.1792203769728,18.436509042327
"X70",8.53716460094595,10.7238908751838,13.2325348568516,5.00541716442596,7.1921434386638,9.70078742033161
"X71",8.50201031665551,10.856103530013,13.1920157526191,5.71089341144551,8.064986624803,10.4008988474091
"X72",8.54577551227326,10.8238804777807,13.4347583225361,5.97032385211326,8.2484288176207,10.8593066623761
"X73",8.75664137989643,10.8717699440598,13.2544713424955,5.15198859364643,7.26711715780985,9.64981855624553
"X74",13.8811847326718,17.2243556020715,20.4739665317019,11.2018121359318,14.5449830053315,17.7945939349619
"X75",9.27591199110335,11.6968580966241,14.2985288648,6.17556599806335,8.5965121035841,11.19818287176
"X76",9.19211789709473,11.857329170615,14.4699635652428,5.87907201391473,8.54428328743505,11.1569176820628
"X77",14.6012194595967,18.0729503158464,21.5127325707053,11.0084162674567,14.4801471237064,17.9199293785653
"X78",9.55796074186243,11.9610365684465,14.8116033431003,6.59196857725243,8.9950444038365,11.8456111784903
"X79",14.52950208515,17.9293550854083,21.5067501000677,11.25467183918,14.6545248394383,18.2319198540977
"X80",8.90937764216365,11.1276395829094,13.5842855964385,5.20912587214365,7.4273878128894,9.88403382641848
"X81",9.32088767452591,11.6936731893866,14.2493479196711,6.75328742428591,9.1260729391466,11.6817476694311
"X82",8.80916919091904,11.3242379201426,13.8635290930916,5.43705043175904,7.95211916098255,10.4914103339316
"X83",9.81143812722673,13.6314703043313,17.7898830126096,6.45242704934673,10.2724592264513,14.4308719347296
"X84",9.51066192870129,13.5135999825836,17.4787907335997,5.26360344176129,9.2665414956436,13.2317322466597
"X85",9.89689874132291,13.7106078589129,17.9457613780446,6.24209641893291,10.0558055365229,14.2909590556546
"X86",9.83409132357115,13.6409431775373,17.8357724599656,5.75898146029115,9.56583331425735,13.7606625966856
"X87",9.82959003656791,13.6610963499388,17.5946424348283,6.54015636652791,10.3716626798988,14.3052087647883
"X88",9.86670251220512,13.5547796163885,17.6530565537079,6.44495339721512,10.1330305013985,14.2313074387179
"X89",9.57702935887466,13.6340344546064,17.9500391385865,4.86628831578466,8.92329341151635,13.2392980954965
"X90",12.2659763750272,16.9704892729,21.7041414573079,7.59696583120723,12.30147872908,17.0351309134879
"X91",12.6509310017984,16.9598043617929,21.8726497953595,8.73068869222844,13.0395620522229,17.9524074857895
"X92",12.3044355295445,17.0509984226651,21.9978411172951,8.38589686377447,13.1324597568951,18.0793024515251
"X93",9.89785668492292,13.5183710125523,17.4713232208823,5.16179978490292,8.7823141125323,12.7352663208623
"X94",9.7289125994289,13.4471108255704,17.6339139421194,5.7234320238689,9.44163025001045,13.6284333665594
"X95",12.2000287064307,16.9450181766604,21.5468664640518,7.44072313392065,12.1857126041504,16.7875608915418
"X96",9.97656241776194,13.6152843136475,17.8916553875963,5.78848067643194,9.42720257231745,13.7035736462663
"X97",10.025775916393,13.6844335403214,18.000066403053,6.30475502711298,9.9634126510414,14.279045513773
"X98",9.76179317829404,13.4720744220146,17.5500070671662,5.79967769977404,9.50995894349465,13.5878915886462
"X99",10.527436711076,14.4281551469245,18.7938138517374,7.36680724787603,11.2675256837245,15.6331843885374
"X100",10.3616246362304,13.8597971696017,18.265573370858,6.67794772583037,10.1761202592017,14.581896460458
"X101",15.8874276712767,20.5387069409624,25.3766020918578,12.3756459787767,17.0269252484624,21.8648203993578
"X102",16.1850407908632,20.750825874268,25.6183001051923,12.7282071421832,17.293992225588,22.1614664565123
"X103",13.350761647167,18.0407786628979,23.0071520528689,9.84045929425696,14.530476309988,19.4968496999589
"X104",13.4183786772984,18.1176789508549,23.4699993319736,9.94827026359836,14.6475705371549,19.9998909182736
"X105",12.6201577437409,17.2519453426035,22.3792463098941,8.99799854879095,13.6297861476535,18.7570871149441
"X106",10.4018997730974,14.0778605496646,18.403930447644,6.87862439772744,10.5545851742946,14.880655072274
"X107",13.2694572416039,18.0675270534431,23.1812255794174,8.66596526772388,13.4640350795631,18.5777336055374
"X108",10.4274388005427,14.2147345421607,18.5738114159893,6.48539168140271,10.2726874230207,14.6317642968493
"X109",13.4458939888045,18.2180577703721,22.855516808384,10.2305989601145,15.0027627416821,19.640221779694
"X110",9.66018236555887,13.5173829228608,17.7066156907505,5.40384157576887,9.26104213307075,13.4502749009605
"X111",9.91632109016839,13.5866103769667,17.8526073493838,6.50058927864839,10.1708785654467,14.4368755378638
"X112",15.4915207934784,20.1357029832093,24.6852482895112,12.1009911609084,16.7451733506393,21.2947186569412
"X113",15.6618148347503,20.3938865912292,25.1005103667337,11.9263106843603,16.6583824408392,21.3650062163437
"X114",10.4472722683185,14.4653079575224,18.5242593925363,7.29098030664853,11.3090159958524,15.3679674308663
"X115",10.5239201662121,14.5294854893211,18.8658291463566,7.58681231709211,11.5923776402011,15.9287212972366
"X116",14.2280063917606,18.9277740384053,23.760272933868,11.3986069014006,16.0983745480453,20.930873443508
"X117",10.530252781081,14.3086886707755,18.817181875725,7.28219141023095,11.0606272999255,15.569120504875
"X118",16.4508852107625,21.0061061386082,26.0732642446307,13.5477811915925,18.1030021194382,23.1701602254607
"X119",10.9465132483213,14.7396490077955,18.9835266642426,8.03335864627129,11.8264944057455,16.0703720621926
"X120",10.872156504329,14.7039789188179,18.7296267360302,7.05230329387905,10.8841257083679,14.9097735255802
"X121",10.5757549545647,14.6910206772594,18.6862226240183,6.11110728000467,10.2263730026994,14.2215749494583
"X122",10.807052751652,14.5144043905377,18.864659102555,6.38769659625196,10.0950482351377,14.445302947155
"X123",16.2509348424314,21.1228765749632,25.8419446394846,13.4222185643514,18.2941602968831,23.0132283614046
"X124",16.2296213479282,20.7928368799951,25.9728977018388,13.1383486123282,17.701564144395,22.8816249662388
"X125",13.5872009669552,18.3792569904978,23.1398387449886,8.4524818812652,13.2445379048078,18.0051196592986
"X126",16.2894951220627,20.9650980420104,25.8964490476069,12.3957310076827,17.0713339276303,22.0026849332269
"X127",10.6316062243335,14.3871070730358,18.4019162751262,6.66243012265352,10.4179309713558,14.4327401734462
"X128",10.3409897753098,14.0954824684337,18.2745364528938,6.24251985037977,9.99701254350365,14.1760665279638
"X129",13.7658697957791,18.4172827135437,23.5408723644788,9.49652165124908,14.1479345690137,19.2715242199488
"X130",15.9577369546822,20.6160122399489,25.565139249116,11.5984832620522,16.2567585473189,21.205885556486
"X131",14.099088861517,18.6240797634671,23.9065667913005,10.451794626287,14.9767855282371,20.2592725560705
"X132",14.0149490527781,18.5564363790007,23.6545316075227,10.5689323596581,15.1104196858807,20.2085149144027
"X133",15.9236482748953,20.5155767968676,25.066603052224,12.1047273764553,16.6966558984276,21.247682153784
"X134",12.8999177417634,17.3032838897046,22.1648606269885,7.11278814886345,11.5161542968046,16.3777310340885
"X135",10.0243364650715,13.872219852818,18.0290338372846,4.42978080101147,8.277664188758,12.4344781732246
"X136",10.2925863329321,13.7824979564899,17.9945214202548,5.78878384270207,9.27869546625985,13.4907189300248
"X137",23.2449478047267,28.6041658399607,34.5866301746587,17.5286605732767,22.8878786085107,28.8703429432087
"X138",15.2278778281842,19.5828022497406,23.8653644239808,11.3246296134642,15.6795540350206,19.9621162092608
"X139",15.732610150941,19.7192450025955,24.1132531513968,11.459069272641,15.4457041242955,19.8397122730968
"X140",23.2365556280913,28.4531105440703,34.3746016162676,17.6384149115413,22.8549698275203,28.7764608997176
"X141",14.1332309014125,17.4258673586006,20.3767626104582,7.10619614189248,10.3988325990806,13.3497278509382
"X142",15.6696826464107,19.358578649994,23.4055733465794,9.57822756828065,13.267123571864,17.3141182684494
"X143",15.3100396862341,19.4398309729315,23.9263078554544,10.3745874157241,14.5043787024215,18.9908555849444
"X144",15.5519966186594,19.2886009480497,23.3190666903902,9.47592430725938,13.2125286366497,17.2429943789902
"X145",22.4870776410281,28.2448617442266,34.1511344170162,17.5992114300881,23.3569955332866,29.2632682060762
"X146",15.2278880018435,19.402039728337,23.5735804363892,9.28170994703355,13.455861673527,17.6274023815792
"X147",15.2581139842462,19.3887281805404,23.6609552217643,8.64054119982622,12.7711553961204,17.0433824373443
"X148",22.4558723000457,28.260850157214,33.60533301773,15.5061675576157,21.311145414784,26.6556282753
"X149",22.5592682975915,28.0575605168595,33.9945312165934,15.2970566887015,20.7953489079695,26.7323196077034
"X150",22.6605903909869,28.1295111338423,34.3278171651369,16.9864433572969,22.4553641001523,28.6536701314469
"X151",14.8762815441701,19.2369372936622,23.3717883186484,7.60877818724007,11.9694339367322,16.1042849617184
"X152",15.0130984549726,18.9884527110393,23.2602886294398,8.54710266640264,12.5224569224693,16.7942928408698
"X153",13.8178667527881,17.053272237043,20.0102149015686,5.96931023423808,9.20471571849305,12.1616583830186
"X154",15.0250549115629,19.2296509918731,23.2249330113821,6.7274200238629,10.932016104173,14.9272981236821
"X155",22.584683541058,27.7658865723128,33.5418342060625,15.264249733688,20.4454527649428,26.2214003986925
"X156",15.1521442401292,19.254258213153,23.351898693633,8.3072154986692,12.409329471693,16.506969952173
"X157",14.9619580328151,19.2947160143254,23.6708239898919,7.35527315732514,11.6880311388354,16.0641391144019
"X158",22.8301690572796,28.3452984640635,34.0920540764147,16.6575601095296,22.1726895163136,27.9194451286647
"X159",22.2542968609114,27.7442845865386,33.0875066930624,11.7731658794614,17.2631536050886,22.6063757116124
"X160",13.7691123405706,16.771487429503,19.8369190792673,-0.636106165289402,2.36626892364295,5.43170057340732
"X161",15.0752018626201,19.170261034339,23.6343816159515,7.48459669905006,11.579655870769,16.0437764523815
