"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq"
"1","A01-01","SLU",4.386403029,1.053930778,"jack pine",17.7484595,20.73412027,14.23617356,14.23617356,56.12551117,5.612551117,56.12551117,24.45680809,8.058231926,8.623622443,13.010025472,24.4568080902,2.44568080902
"2","A01-02","SLU",5.171429428,NA,"black spruce",24.81565715,24.54265715,17.16411615,17.16411615,66.82737732,6.682737732,66.82737732,24.35105324,9.117843056,10.481378418,15.652807846,24.3510532379,2.43510532379
"3","A03-01","SLU",5.440164832,NA,"black spruce",27.19461013,26.92161013,19.54306913,19.54306913,59.20462418,5.920462418,59.20462418,22.41448784,8.161911201,13.622606712,19.062771544,22.4144878387,2.24144878387
"4","A03-02","SLU",5.560345448,NA,"black spruce",25.89705944,25.62405944,18.24551845,18.24551845,54.56725693,5.456725693,54.56725693,21.20836449,7.577562141,12.788792757,18.349138205,21.2083644867,2.12083644867
"5","A03-03","SLU",5.183486241,NA,"black spruce",21.45048834,21.17748834,13.79894735,13.79894735,71.65354156,7.165354156,71.65354156,24.3429184,9.599645996,6.633593194,11.817079435,24.342918396,2.4342918396
"6","A03-04","SLU",4.675147652,1.455759276,"jack pine",25.87685947,28.86252024,22.36457353,22.36457353,58.22198486,5.822198486,58.22198486,20.84685326,7.906883812,16.542375044,21.217522696,20.8468532562,2.08468532562
"7","A05-01","SLU",5.472490748,NA,"black spruce",24.8245245,24.5515245,17.17298351,17.17298351,60.38652802,6.038652802,60.38652802,21.14133263,8.152786064,11.134330708,16.606821456,21.1413326263,2.11413326263
"8","A05-02","SLU",5.343372635,NA,"black spruce",22.22239031,21.94939031,14.57084931,14.57084931,75.59736633,7.559736633,75.59736633,22.75137138,9.834873772,7.011112677,12.354485312,22.7513713837,2.27513713837
"9","A05-03","SLU",5.30860179,NA,"black spruce",37.18475015,36.91175015,29.53320916,29.53320916,65.92633057,6.592633057,65.92633057,23.48644257,8.941277313,22.940576103,28.249177893,23.4864425659,2.34864425659
"10","B02-01","TLU",4.710486012,1.404403257,"jack pine",23.7223089,26.83796967,20.20002296,20.20002296,60.52163315,6.052163315,60.52163315,20.93080521,8.145243835,14.147859645,18.858345657,20.9308052063,2.09308052063
"11","B02-03","TLU",4.612135916,NA,"black spruce",30.18112961,30.03812961,22.51958862,22.51958862,80.97434998,8.097434998,80.97434998,30.81826973,11.17926197,14.422153622,19.034289538,30.8182697296,3.08182697296
"12","B02-04","TLU",4.932988792,NA,"black spruce",22.26314848,22.12014848,14.60160749,14.60160749,63.42870712,6.342870712,63.42870712,27.39259338,9.082130051,8.258736778,13.19172557,27.3925933838,2.73925933838
