site,parameter,unit,date_ymd,result
Buffalo Pound Lake,Flow,cms,1980-02-11,NA
Buffalo Pound Lake,Flow,cms,1980-02-26,NA
Buffalo Pound Lake,Flow,cms,1980-04-14,NA
Buffalo Pound Lake,Flow,cms,1980-05-12,1
Buffalo Pound Lake,Flow,cms,1980-06-10,4
Buffalo Pound Lake,Flow,cms,1980-07-16,6.3
Buffalo Pound Lake,Flow,cms,1980-09-16,3
Buffalo Pound Lake,Flow,cms,1980-11-12,0
Buffalo Pound Lake,Flow,cms,1981-01-20,2
Buffalo Pound Lake,Flow,cms,1981-03-10,0.7
Buffalo Pound Lake,Flow,cms,1981-05-11,10
Buffalo Pound Lake,Flow,cms,1981-07-21,10
Buffalo Pound Lake,Flow,cms,1981-09-15,4
Buffalo Pound Lake,Flow,cms,1981-11-17,1.5
Buffalo Pound Lake,Flow,cms,1982-02-23,1.5
Buffalo Pound Lake,Flow,cms,1982-03-23,0
Buffalo Pound Lake,Flow,cms,1982-05-25,0
Buffalo Pound Lake,Flow,cms,1982-07-20,2
Buffalo Pound Lake,Flow,cms,1982-10-12,2
Buffalo Pound Lake,Flow,cms,1983-02-15,1.4
Buffalo Pound Lake,Flow,cms,1983-05-31,1
Buffalo Pound Lake,Flow,cms,1983-07-11,1
Buffalo Pound Lake,Flow,cms,1984-03-20,0
Buffalo Pound Lake,Flow,cms,1988-10-17,1.5
Buffalo Pound Lake,Flow,cms,1989-03-14,1.3
Buffalo Pound Lake,Flow,cms,1989-06-19,12.4
Buffalo Pound Lake,Flow,cms,1989-07-24,9.8
Buffalo Pound Lake,Flow,cms,1989-08-14,9.2
Buffalo Pound Lake,Flow,cms,1989-10-30,1.7
Buffalo Pound Lake,Flow,cms,1990-02-26,0.5
Buffalo Pound Lake,Flow,cms,1990-05-01,11.4
Buffalo Pound Lake,Flow,cms,1990-06-04,12.7
Buffalo Pound Lake,Flow,cms,1990-07-09,13.2
Buffalo Pound Lake,Flow,cms,1990-08-20,6
Buffalo Pound Lake,Flow,cms,1991-03-13,1.4
Buffalo Pound Lake,Flow,cms,1991-04-23,6.8
Buffalo Pound Lake,Flow,cms,1991-08-20,4.8
Buffalo Pound Lake,Flow,cms,1991-12-05,0.5
Buffalo Pound Lake,Flow,cms,1992-04-28,1.8
Buffalo Pound Lake,Flow,cms,1992-07-27,NA
Buffalo Pound Lake,Flow,cms,1992-09-22,NA
Buffalo Pound Lake,Flow,cms,1992-12-14,NA
Buffalo Pound Lake,Flow,cms,1993-05-01,NA
Buffalo Pound Lake,Flow,cms,1994-05-09,0
Buffalo Pound Lake,Flow,cms,1995-05-15,6
Buffalo Pound Lake,Flow,cms,1995-10-23,1.5
Buffalo Pound Lake,Flow,cms,1996-05-27,0
Buffalo Pound Lake,Flow,cms,1996-10-21,3
Buffalo Pound Lake,Flow,cms,1997-05-12,0
Buffalo Pound Lake,Flow,cms,1997-08-18,6
Buffalo Pound Lake,Flow,cms,1998-06-01,NA
Buffalo Pound Lake,Flow,cms,1999-07-19,NA
Buffalo Pound Lake,Flow,cms,2000-05-08,10
Buffalo Pound Lake,Flow,cms,2000-07-10,0
Buffalo Pound Lake,Flow,cms,2000-10-02,1.5
Buffalo Pound Lake,Flow,cms,2001-05-28,9
Buffalo Pound Lake,Flow,cms,2001-08-13,8.5
Buffalo Pound Lake,Flow,cms,2001-10-15,2.7
Buffalo Pound Lake,Flow,cms,2002-05-13,8
Buffalo Pound Lake,Flow,cms,2004-06-14,6
Buffalo Pound Lake,Flow,cms,2005-05-16,4
Buffalo Pound Lake,Flow,cms,2006-06-19,3.7
Buffalo Pound Lake,Flow,cms,2007-06-11,3.5
Buffalo Pound Lake,Flow,cms,2008-05-26,10.6
Buffalo Pound Lake,Flow,cms,2008-08-19,4.56
Buffalo Pound Lake,Flow,cms,2009-04-20,2.3
Buffalo Pound Lake,Flow,cms,2009-05-27,5.5
Buffalo Pound Lake,Flow,cms,2009-06-22,5
Buffalo Pound Lake,Flow,cms,2009-09-21,3.5
Buffalo Pound Lake,Flow,cms,2010-06-01,1.2
Buffalo Pound Lake,Flow,cms,2011-06-28,1.4
Buffalo Pound Lake,Flow,cms,2012-06-20,2.8
Buffalo Pound Lake,Conductivity,umhos/cm,1980-02-11,710
Buffalo Pound Lake,Conductivity,umhos/cm,1980-02-26,NA
Buffalo Pound Lake,Conductivity,umhos/cm,1980-04-14,660
Buffalo Pound Lake,Conductivity,umhos/cm,1980-05-12,600
Buffalo Pound Lake,Conductivity,umhos/cm,1980-06-10,600
Buffalo Pound Lake,Conductivity,umhos/cm,1980-07-16,510
Buffalo Pound Lake,Conductivity,umhos/cm,1980-09-16,530
Buffalo Pound Lake,Conductivity,umhos/cm,1980-11-12,540
Buffalo Pound Lake,Conductivity,umhos/cm,1981-01-20,590
Buffalo Pound Lake,Conductivity,umhos/cm,1981-03-10,690
Buffalo Pound Lake,Conductivity,umhos/cm,1981-05-11,610
Buffalo Pound Lake,Conductivity,umhos/cm,1981-07-21,450
Buffalo Pound Lake,Conductivity,umhos/cm,1981-09-15,430
Buffalo Pound Lake,Conductivity,umhos/cm,1981-11-17,410
Buffalo Pound Lake,Conductivity,umhos/cm,1982-02-23,640
Buffalo Pound Lake,Conductivity,umhos/cm,1982-03-23,650
Buffalo Pound Lake,Conductivity,umhos/cm,1982-05-25,410
Buffalo Pound Lake,Conductivity,umhos/cm,1982-07-20,360
Buffalo Pound Lake,Conductivity,umhos/cm,1982-10-12,400
Buffalo Pound Lake,Conductivity,umhos/cm,1983-02-15,600
Buffalo Pound Lake,Conductivity,umhos/cm,1983-05-31,580
Buffalo Pound Lake,Conductivity,umhos/cm,1983-07-11,560
Buffalo Pound Lake,Conductivity,umhos/cm,1984-03-20,690
Buffalo Pound Lake,Conductivity,umhos/cm,1988-10-17,460
Buffalo Pound Lake,Conductivity,umhos/cm,1989-03-14,580
Buffalo Pound Lake,Conductivity,umhos/cm,1989-06-19,495
Buffalo Pound Lake,Conductivity,umhos/cm,1989-07-24,430
Buffalo Pound Lake,Conductivity,umhos/cm,1989-08-14,425
Buffalo Pound Lake,Conductivity,umhos/cm,1989-10-30,440
Buffalo Pound Lake,Conductivity,umhos/cm,1990-02-26,590
Buffalo Pound Lake,Conductivity,umhos/cm,1990-05-01,490
Buffalo Pound Lake,Conductivity,umhos/cm,1990-06-04,480
Buffalo Pound Lake,Conductivity,umhos/cm,1990-07-09,430
Buffalo Pound Lake,Conductivity,umhos/cm,1990-08-20,410
Buffalo Pound Lake,Conductivity,umhos/cm,1991-03-13,410
Buffalo Pound Lake,Conductivity,umhos/cm,1991-04-23,380
Buffalo Pound Lake,Conductivity,umhos/cm,1991-08-20,370
Buffalo Pound Lake,Conductivity,umhos/cm,1991-12-05,600
Buffalo Pound Lake,Conductivity,umhos/cm,1992-04-28,524
Buffalo Pound Lake,Conductivity,umhos/cm,1992-07-27,519
Buffalo Pound Lake,Conductivity,umhos/cm,1992-09-22,484
Buffalo Pound Lake,Conductivity,umhos/cm,1992-12-14,522
Buffalo Pound Lake,Conductivity,umhos/cm,1993-05-01,479
Buffalo Pound Lake,Conductivity,umhos/cm,1994-05-09,482
Buffalo Pound Lake,Conductivity,umhos/cm,1995-05-15,577
Buffalo Pound Lake,Conductivity,umhos/cm,1995-10-23,495
Buffalo Pound Lake,Conductivity,umhos/cm,1996-05-27,450
Buffalo Pound Lake,Conductivity,umhos/cm,1996-10-21,579
Buffalo Pound Lake,Conductivity,umhos/cm,1997-05-12,524
Buffalo Pound Lake,Conductivity,umhos/cm,1997-08-18,587
Buffalo Pound Lake,Conductivity,umhos/cm,1998-06-01,597
Buffalo Pound Lake,Conductivity,umhos/cm,1999-07-19,468
Buffalo Pound Lake,Conductivity,umhos/cm,2000-05-08,603
Buffalo Pound Lake,Conductivity,umhos/cm,2000-07-10,476
Buffalo Pound Lake,Conductivity,umhos/cm,2000-10-02,541
Buffalo Pound Lake,Conductivity,umhos/cm,2001-05-28,590
Buffalo Pound Lake,Conductivity,umhos/cm,2001-08-13,509
Buffalo Pound Lake,Conductivity,umhos/cm,2001-10-15,568
Buffalo Pound Lake,Conductivity,umhos/cm,2002-05-13,539
Buffalo Pound Lake,Conductivity,umhos/cm,2004-06-14,483
Buffalo Pound Lake,Conductivity,umhos/cm,2005-05-16,495
Buffalo Pound Lake,Conductivity,umhos/cm,2006-06-19,538
Buffalo Pound Lake,Conductivity,umhos/cm,2007-06-11,533
Buffalo Pound Lake,Conductivity,umhos/cm,2008-05-26,563
Buffalo Pound Lake,Conductivity,umhos/cm,2008-08-19,487
Buffalo Pound Lake,Conductivity,umhos/cm,2009-04-20,624
Buffalo Pound Lake,Conductivity,umhos/cm,2009-05-27,475
Buffalo Pound Lake,Conductivity,umhos/cm,2009-06-22,480
Buffalo Pound Lake,Conductivity,umhos/cm,2009-09-21,487
Buffalo Pound Lake,Conductivity,umhos/cm,2010-06-01,509
Buffalo Pound Lake,Conductivity,umhos/cm,2011-06-28,615
Buffalo Pound Lake,Conductivity,umhos/cm,2012-06-20,647
Buffalo Pound Lake,Colour,Pt/Co,1980-02-11,10
Buffalo Pound Lake,Colour,Pt/Co,1980-02-26,NA
Buffalo Pound Lake,Colour,Pt/Co,1980-04-14,15
Buffalo Pound Lake,Colour,Pt/Co,1980-05-12,15
Buffalo Pound Lake,Colour,Pt/Co,1980-06-10,10
Buffalo Pound Lake,Colour,Pt/Co,1980-07-16,20
Buffalo Pound Lake,Colour,Pt/Co,1980-09-16,45
Buffalo Pound Lake,Colour,Pt/Co,1980-11-12,NA
Buffalo Pound Lake,Colour,Pt/Co,1981-01-20,15
Buffalo Pound Lake,Colour,Pt/Co,1981-03-10,25
Buffalo Pound Lake,Colour,Pt/Co,1981-05-11,20
Buffalo Pound Lake,Colour,Pt/Co,1981-07-21,20
Buffalo Pound Lake,Colour,Pt/Co,1981-09-15,NA
Buffalo Pound Lake,Colour,Pt/Co,1981-11-17,NA
Buffalo Pound Lake,Colour,Pt/Co,1982-02-23,5
Buffalo Pound Lake,Colour,Pt/Co,1982-03-23,5
Buffalo Pound Lake,Colour,Pt/Co,1982-05-25,NA
Buffalo Pound Lake,Colour,Pt/Co,1982-07-20,NA
Buffalo Pound Lake,Colour,Pt/Co,1982-10-12,NA
Buffalo Pound Lake,Colour,Pt/Co,1983-02-15,15
Buffalo Pound Lake,Colour,Pt/Co,1983-05-31,15
Buffalo Pound Lake,Colour,Pt/Co,1983-07-11,30
Buffalo Pound Lake,Colour,Pt/Co,1984-03-20,2.5
Buffalo Pound Lake,Colour,Pt/Co,1988-10-17,10
Buffalo Pound Lake,Colour,Pt/Co,1989-03-14,10
Buffalo Pound Lake,Colour,Pt/Co,1989-06-19,10
Buffalo Pound Lake,Colour,Pt/Co,1989-07-24,10
Buffalo Pound Lake,Colour,Pt/Co,1989-08-14,20
Buffalo Pound Lake,Colour,Pt/Co,1989-10-30,5
Buffalo Pound Lake,Colour,Pt/Co,1990-02-26,15
Buffalo Pound Lake,Colour,Pt/Co,1990-05-01,10
Buffalo Pound Lake,Colour,Pt/Co,1990-06-04,5
Buffalo Pound Lake,Colour,Pt/Co,1990-07-09,10
Buffalo Pound Lake,Colour,Pt/Co,1990-08-20,10
Buffalo Pound Lake,Colour,Pt/Co,1991-03-13,5
Buffalo Pound Lake,Colour,Pt/Co,1991-04-23,10
Buffalo Pound Lake,Colour,Pt/Co,1991-08-20,30
Buffalo Pound Lake,Colour,Pt/Co,1991-12-05,10
Buffalo Pound Lake,Colour,Pt/Co,1992-04-28,10
Buffalo Pound Lake,Colour,Pt/Co,1992-07-27,10
Buffalo Pound Lake,Colour,Pt/Co,1992-09-22,20
Buffalo Pound Lake,Colour,Pt/Co,1992-12-14,15
Buffalo Pound Lake,Colour,Pt/Co,1993-05-01,25
Buffalo Pound Lake,Colour,Pt/Co,1994-05-09,25
Buffalo Pound Lake,Colour,Pt/Co,1995-05-15,20
Buffalo Pound Lake,Colour,Pt/Co,1995-10-23,40
Buffalo Pound Lake,Colour,Pt/Co,1996-05-27,25
Buffalo Pound Lake,Colour,Pt/Co,1996-10-21,25
Buffalo Pound Lake,Colour,Pt/Co,1997-05-12,40
Buffalo Pound Lake,Colour,Pt/Co,1997-08-18,60
Buffalo Pound Lake,Colour,Pt/Co,1998-06-01,20
Buffalo Pound Lake,Colour,Pt/Co,1999-07-19,80
Buffalo Pound Lake,Colour,Pt/Co,2000-05-08,25
Buffalo Pound Lake,Colour,Pt/Co,2000-07-10,35
Buffalo Pound Lake,Colour,Pt/Co,2000-10-02,30
Buffalo Pound Lake,Colour,Pt/Co,2001-05-28,40
Buffalo Pound Lake,Colour,Pt/Co,2001-08-13,50
Buffalo Pound Lake,Colour,Pt/Co,2001-10-15,80
Buffalo Pound Lake,Colour,Pt/Co,2002-05-13,20
Buffalo Pound Lake,Colour,Pt/Co,2004-06-14,15
Buffalo Pound Lake,Colour,Pt/Co,2005-05-16,15
Buffalo Pound Lake,Colour,Pt/Co,2006-06-19,38
Buffalo Pound Lake,Colour,Pt/Co,2007-06-11,30
Buffalo Pound Lake,Colour,Pt/Co,2008-05-26,15
Buffalo Pound Lake,Colour,Pt/Co,2008-08-19,35
Buffalo Pound Lake,Colour,Pt/Co,2009-04-20,50
Buffalo Pound Lake,Colour,Pt/Co,2009-05-27,10
Buffalo Pound Lake,Colour,Pt/Co,2009-06-22,NA
Buffalo Pound Lake,Colour,Pt/Co,2009-09-21,25
Buffalo Pound Lake,Colour,Pt/Co,2010-06-01,20
Buffalo Pound Lake,Colour,Pt/Co,2011-06-28,35
Buffalo Pound Lake,Colour,Pt/Co,2012-06-20,20
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-02-11,7
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-02-26,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-04-14,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-05-12,8.6
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-06-10,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-07-16,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-09-16,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1980-11-12,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1981-01-20,13
Buffalo Pound Lake,Diss.Oxygen,mg/L,1981-03-10,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1981-05-11,9.8
Buffalo Pound Lake,Diss.Oxygen,mg/L,1981-07-21,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1981-09-15,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1981-11-17,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1982-02-23,8.5
Buffalo Pound Lake,Diss.Oxygen,mg/L,1982-03-23,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1982-05-25,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1982-07-20,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1982-10-12,10.8
Buffalo Pound Lake,Diss.Oxygen,mg/L,1983-02-15,5.8
Buffalo Pound Lake,Diss.Oxygen,mg/L,1983-05-31,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1983-07-11,NA
Buffalo Pound Lake,Diss.Oxygen,mg/L,1984-03-20,12.3
Buffalo Pound Lake,Diss.Oxygen,mg/L,1988-10-17,10.4
