date_ymd,year,DOY,DOC,pH,SUVA,conductivity,sulphate,chl_a,TP,SRP,colour,turbidity,alkalinity,hardness,temperature
1980-01-07T00:00:00Z,1980,7,NA,7.9,NA,720,175,NA,NA,NA,10,1.9,201,229,4.2
1980-01-14T00:00:00Z,1980,14,NA,7.7,NA,640,155,NA,72,NA,15,5,209,235,3.8
1980-01-21T00:00:00Z,1980,21,NA,7.8,NA,641,170,NA,40,NA,10,1.5,213,237,3.8
1980-01-28T00:00:00Z,1980,28,NA,7.8,NA,709,170,NA,42,NA,10,1.8,216,239,4.2
1980-02-04T00:00:00Z,1980,35,NA,7.8,NA,710,175,NA,43,NA,10,1.8,214,241,3.9
1980-02-11T00:00:00Z,1980,42,NA,7.8,NA,NA,190,NA,NA,NA,10,1.4,219,244,4.5
1980-02-18T00:00:00Z,1980,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-02-25T00:00:00Z,1980,56,NA,7.8,NA,683,180,NA,NA,NA,15,1.6,219,249,4.5
1980-03-03T00:00:00Z,1980,63,NA,8,NA,697,185,NA,NA,NA,15,1.5,223,248,4.8
1980-03-10T00:00:00Z,1980,70,NA,7.9,NA,700,175,NA,NA,NA,15,1.5,227,252,4.2
1980-03-17T00:00:00Z,1980,77,NA,7.8,NA,680,190,NA,60,NA,15,1.9,228,245,3.8
1980-03-24T00:00:00Z,1980,84,NA,7.7,NA,715,180,NA,NA,NA,15,1.9,226,247,4.1
1980-03-31T00:00:00Z,1980,91,NA,7.7,NA,660,185,NA,NA,NA,15,1.5,225,246,4.1
1980-04-07T00:00:00Z,1980,98,NA,7.95,NA,660,160,NA,NA,NA,15,1.8,228,241,4.8
1980-04-14T00:00:00Z,1980,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-04-21T00:00:00Z,1980,112,NA,8.1,NA,480,170,2.9,50,NA,15,2,169,183,7
1980-04-28T00:00:00Z,1980,119,NA,8,NA,490,135,NA,NA,NA,15,2.6,166,184,11.2
1980-05-05T00:00:00Z,1980,126,NA,8.2,NA,525,135,NA,NA,NA,15,2,172,186,15.2
1980-05-12T00:00:00Z,1980,133,NA,8,NA,600,135,NA,26,NA,15,3.1,178,189,14.7
1980-05-19T00:00:00Z,1980,140,NA,8.2,NA,560,145,NA,NA,NA,15,2.4,182,192,16.2
1980-05-26T00:00:00Z,1980,147,NA,8.1,NA,600,140,NA,35,NA,55,28,187,197,18.9
1980-06-02T00:00:00Z,1980,154,NA,8.3,NA,600,140,NA,NA,NA,15,2.8,186,197,16.7
1980-06-09T00:00:00Z,1980,161,NA,8.5,NA,600,145,NA,26,NA,15,3.9,190,194,16.4
